,stop_name,Ward_name
4984,FINCH AVE WEST AT CHESSWOOD DR,York Centre
4985,PHARMACY AVE AT CHRISTINA CRES (SOUTH),Scarborough Centre
4986,JANE ST AT WILLIAM CRAGG DR,Humber River-Black Creek
4987,4150 MIDLAND AVE,Scarborough-Agincourt
4988,MT PLEASANT RD AT GLENGOWAN RD,Don Valley West
4989,GLENCAIRN AVE AT DUFFERIN ST,Eglinton-Lawrence
4990,MCCOWAN RD AT SOUTH UNIONVILLE AVE,outside_wards
4991,HARBORD ST AT CRAWFORD ST,University-Rosedale
4992,BARKDENE HILLS AT LARWOOD BLVD,Scarborough Southwest
4993,FINCH AVE WEST AT SIGNET DR WEST SIDE,Humber River-Black Creek
4994,FINCH AVE WEST AT WESTON RD,Humber River-Black Creek
4995,BEDFORD RD AT LOWTHER AVE NORTH SIDE,University-Rosedale
4996,DUNDAS ST WEST AT CHESTNUT ST,Spadina-Fort York
4997,VICTORIA PARK AVE AT SURREY AVE NORTH SIDE,Scarborough Centre
4998,ST CLAIR AVE WEST AT RUSSELL HILL RD WEST SIDE,Toronto-St. Paul's
4999,46 NORELCO DR,Humber River-Black Creek
5000,LAKE SHORE BLVD WEST AT TWENTY NINTH ST,Etobicoke-Lakeshore
5001,MIDLAND AVE AT FINCH AVE EAST,Scarborough North
5002,LAKE SHORE BLVD WEST AT SYMONS ST,Etobicoke-Lakeshore
5003,YONGE ST AT ROWANWOOD AVE,University-Rosedale
5004,ISLINGTON AVE AT SAYBROOK AVE,Etobicoke-Lakeshore
5005,DAVENPORT RD AT LAUGHTON AVE,Davenport
5006,AVENUE RD AT MELROSE AVE,Eglinton-Lawrence
5007,PRINCESS MARGARET BLVD AT MARTIN GROVE RD,Etobicoke Centre
5008,STEELES AVE WEST AT THURMAN RD,outside_wards
5009,MIDLAND AVE AT SAFARI ST,Scarborough Southwest
5010,MAYBROOK DR AT NEWMILL GATE,Scarborough North
5011,DUFFERIN ST AT HOLMESDALE RD,Davenport
5012,BARBER GREENE RD AT OVERLAND DR,Don Valley East
5013,COXWELL AVE AT MEMORIAL PARK AVE SOUTH SIDE,Toronto-Danforth
5014,SENLAC RD AT SHEPPARD AVE WEST NORTH SIDE,Willowdale
5015,WELLESLEY ST WEST AT BAY ST,Toronto Centre
5016,50 CLAIREPORT CRES,Etobicoke North
5017,DANFORTH AVE AT CAITHNESS AVE,Toronto-Danforth
5018,LAWRENCE AVE WEST AT DUFFERIN ST,Eglinton-Lawrence
5019,WARDEN AVE AT MARBLE ARCH CRES,Scarborough Centre
5020,WESTON RD AT FLINDON RD,Humber River-Black Creek
5021,HUMBERLINE DR AT FINCH AVE WEST,Etobicoke North
5022,WARDEN AVE AT DANFORTH RD,Scarborough Southwest
5023,STEELES AVE WEST AT WALKWAY EAST OF ISLINGTON TO PLUNKETT RD,Humber River-Black Creek
5024,3160 STEELES AVE EAST,outside_wards
5025,MILL ST AT TRINITY ST,Toronto Centre
5026,STEELES AVE EAST AT WARDEN AVE,outside_wards
5027,SCARBOROUGH GOLF CLUB RD AT CHANDLER DR SOUTH SIDE,Scarborough-Guildwood
5028,KINGSTON RD AT NEILSON AVE,Scarborough Southwest
5029,THE WESTWAY AT BRAMPTON RD,Etobicoke Centre
5030,RATHBURN RD AT THE WEST MALL,Etobicoke Centre
5031,RUNNYMEDE RD AT DEFOREST RD,Parkdale-High Park
5032,DANFORTH RD AT SAVARIN ST,Scarborough Centre
5033,PHARMACY AVE AT CHESTER LE BLVD (NORTH),Scarborough-Agincourt
5034,156 DUNCAN MILL RD,Don Valley East
5035,422 LANSDOWNE AVE,Davenport
5036,OSSINGTON AVE AT DEWSON ST SOUTH SIDE,Davenport
5037,GULLIVER RD AT KEELE ST WEST SIDE,York South-Weston
5038,120 NUGGET AVE,Scarborough North
5039,MARKHAM RD AT JAMES SCOTT RD,outside_wards
5040,KINGSTON RD AT RAVINE DR,Scarborough Southwest
5041,ALBION RD AT ARCOT BLVD SOUTH SIDE,Etobicoke North
5042,SHEPPARD AVE EAST AT ABBOTSFIELD GATE,Scarborough-Agincourt
5043,DANFORTH RD AT LANDRY AVE,Scarborough Southwest
5044,NEW WESTMINSTER DR AT KATERINA AVE,outside_wards
5045,FINCH AVE EAST AT SCOTTFIELD DR,Scarborough North
5046,BROADVIEW AVE AT DANFORTH AVE,Toronto-Danforth
5047,ROGERS RD AT DAY AVE,Davenport
5048,LAURENTIDE DR AT BUSHBURY DR,Don Valley East
5049,KENNEDY RD AT LINWOOD AVE SOUTH SIDE,Scarborough-Agincourt
5050,ELMHURST DR AT ISLINGTON AVE,Etobicoke North
5051,JANE ST AT ST JOHNS RD,Parkdale-High Park
5052,WILLOWDALE AVE AT EMPRESS AVE,Willowdale
5053,BATHURST ST AT DAVENPORT RD,Toronto-St. Paul's
5054,HULLMAR DR AT RUTHMAR CRES (NORTH),Humber River-Black Creek
5055,QUEEN ST WEST AT GLADSTONE AVE,Davenport
5056,SHEPPARD AVE EAST AT PALMDALE DR,Scarborough-Agincourt
5057,BURNHAMTHORPE RD AT SATURN RD,Etobicoke Centre
5058,BIRCHMOUNT RD AT HARLEYFORD GATE,Scarborough-Agincourt
5059,AVENUE RD AT DOUGLAS AVE NORTH SIDE,Eglinton-Lawrence
5060,STEELES AVE WEST AT BATHURST ST,York Centre
5061,MARKHAM RD AT TURBINA AVE,Scarborough North
5062,WESTON RD AT WALLASEY AVE,Humber River-Black Creek
5063,2200 MARKHAM RD,Scarborough North
5064,BURNHAMTHORPE RD AT THE EAST MALL,Etobicoke Centre
5065,THE QUEENSWAY AT LOMA RD,Etobicoke-Lakeshore
5066,876 BROADVIEW AVE,Toronto-Danforth
5067,WARDEN AVE AT TOWER DR,Scarborough Centre
5068,ELLESMERE RD AT PRINCIPAL RD,Scarborough Centre
5069,LESLIE ST AT CUMMER AVE,Don Valley North
5070,VICTORIA PARK AVE AT PLEASANT VIEW DR NORTH SIDE,Scarborough-Agincourt
5071,THE WESTWAY AT CELESTINE DR WEST SIDE,Etobicoke Centre
5072,CURITY AVE AT HOLLINGER RD,Beaches-East York
5073,SHERBOURNE ST AT GERRARD ST EAST,Toronto Centre
5074,BATHURST ST AT NINA ST,Toronto-St. Paul's
5075,RICHGROVE DR AT MARTIN GROVE RD,Etobicoke North
5076,MORTIMER AVE AT GREENWOOD AVE,Toronto-Danforth
5077,MANSE RD AT HAINFORD ST,Scarborough-Rouge Park
5078,FINCH AVE WEST AT YORK GATE BOULVEARD,Humber River-Black Creek
5079,DANFORTH AVE AT MEDFORD AVE,Scarborough Southwest
5080,JANE ST AT ANNETTE ST SOUTH SIDE,Parkdale-High Park
5081,MCCOWAN RD AT HIGHGLEN AVE,outside_wards
5082,ANNETTE ST AT EVELYN AVE,Parkdale-High Park
5083,150 BRIDGELAND AVE,Eglinton-Lawrence
5084,THE WESTWAY AT ROYAL YORK RD,Etobicoke Centre
5085,MIDDLEFIELD RD AT PEBBLEWOOD AVE,Scarborough North
5086,BIRCHMOUNT RD AT ST CLAIR AVE EAST NORTH SIDE,Scarborough Southwest
5087,MCCOWAN RD AT BRIDLEGROVE DR NORTH SIDE,Scarborough Southwest
5088,DEAUVILLE LANE AT ST DENNIS DR SOUTH SIDE,Don Valley East
5089,VICTORIA PARK AVE AT SOUTHMEAD RD,Scarborough Southwest
5090,DAVISVILLE AVE AT MT PLEASANT RD WEST SIDE,Toronto-St. Paul's
5091,ALBION RD AT TODD BROOK DR,Etobicoke North
5092,MORNING STAR DR AT NETHERWOOD RD,outside_wards
5093,WESTON RD AT ORMONT DR,Humber River-Black Creek
5094,LANSDOWNE AVE AT DUNDAS ST WEST,Davenport
5095,SENTINEL RD AT STILECROFT DR (NORTH),York Centre
5096,SPADINA AVE AT NASSAU ST,University-Rosedale
5097,MARKHAM RD AT GREENBRAE CIRCT,Scarborough-Guildwood
5098,EVANS AVE AT THE EAST MALL,Etobicoke-Lakeshore
5099,KINGSTON RD AT LAKEHURST DR,Scarborough Southwest
5100,GUILDWOOD PKWY AT GUILD INN EAST SIDE,Scarborough-Guildwood
5101,160 CARRIER DR,Etobicoke North
5102,UPPER CANADA DR AT LORD SEATON RD (WEST),Don Valley West
5103,CORPORATE DR AT LEE CENTRE DR (WEST) WEST SIDE,Scarborough-Guildwood
5104,120 MCLEVIN AVE,Scarborough North
5105,CHISHOLM AVE AT ORLEY AVE NORTH SIDE,Beaches-East York
5106,4420 CHESSWOOD DR,York Centre
5107,SHORNCLIFFE AVE AT NEWBRIDGE RD,Etobicoke-Lakeshore
5108,YORK MILLS RD AT LESLIE ST,Don Valley West
5109,AVENUE RD AT GLENVIEW AVE NORTH SIDE,Eglinton-Lawrence
5110,BATHURST ST AT ULSTER ST,University-Rosedale
5111,BATHURST ST AT STEELES AVE WEST SOUTH SIDE,York Centre
5112,NUGGET AVE AT TRANSFER PL,Scarborough North
5113,RATHBURN RD AT THE EAST MALL WEST SIDE,Etobicoke Centre
5114,DUNDAS ST WEST AT RONCESVALLES AVE EAST SIDE,Parkdale-High Park
5115,HUMBERLINE DR AT VIEWCREST CIR EAST SIDE,Etobicoke North
5116,MCCOWAN RD AT HIGHGLEN AVE SOUTH SIDE,outside_wards
5117,BELLAMY RD NORTH AT LYNNBROOK DR,Scarborough-Guildwood
5118,ANNETTE ST AT RUNNYMEDE RD,Parkdale-High Park
5119,WELLESWORTH DR AT RANGOON RD WEST SIDE,Etobicoke Centre
5120,WINTERMUTE BLVD AT RIVER GROVE DR (SOUTH),Scarborough-Agincourt
5121,ISLINGTON AVE AT NEW TORONTO ST,Etobicoke-Lakeshore
5122,VICTORIA PARK AVE AT BISCAYNE BLVD NORTH SIDE,Scarborough Centre
5123,2215 STEELES AVE WEST,York Centre
5124,GOOCH AVE AT MAGWOOD CRT,Parkdale-High Park
5125,VAN HORNE AVE AT DON MILLS RD,Don Valley North
5126,YONGE ST AT DUNDAS ST WEST (DUNDAS STATION),University-Rosedale
5127,ISLINGTON AVE AT BIRMINGHAM ST,Etobicoke-Lakeshore
5128,THE DONWAY EAST AT LAWRENCE AVE EAST,Don Valley East
5129,CULFORD RD AT GRACEFIELD AVE,York South-Weston
5130,EGLINTON AVE WEST AT OAKWOOD AVE,Eglinton-Lawrence
5131,MURRAY ROSS PKWY AT SHOREHAM DR NORTH SIDE (AVIVA CENTRE),Humber River-Black Creek
5132,COSBURN AVE AT ROBLIN AVE,Beaches-East York
5133,LESLIE ST AT BOND AVE,Don Valley East
5134,BATHURST ST AT CODSELL AVE,York Centre
5135,VICTORIA PARK AVE AT MORECAMBE GATE,Scarborough-Agincourt
5136,O'CONNOR DR AT WAKUNDA PLACE,Beaches-East York
5137,PHARMACY AVE AT WALKWAY TO ECCLESFIELD DR,Scarborough-Agincourt
5138,WILSON AVE AT EPIC LANE RD EAST SIDE,York Centre
5139,BAYVIEW AVE AT WOOD AVE,Don Valley West
5140,GERRARD ST EAST AT CLONMORE DR WEST SIDE,Scarborough Southwest
5141,COMMISSIONERS ST AT BOUCHETTE ST,Toronto-Danforth
5142,MCCOWAN RD AT BULLOCK DR - CENTENNIAL GO STATION,outside_wards
5143,HIGH PARK AVE AT DUNDAS ST WEST,Parkdale-High Park
5144,WESTON RD AT CARDELL AVE,York South-Weston
5145,SPADINA AVE AT BREMNER BLVD,Spadina-Fort York
5146,PORT UNION RD AT LAWRENCE AVE EAST NORTH SIDE,Scarborough-Rouge Park
5147,VICTORIA PARK AVE AT NAVAHO DR,Scarborough-Agincourt
5148,PHARMACY AVE AT GORDON BAKER RD,Scarborough-Agincourt
5149,BRENYON WAY AT WICKSON TRAIL SOUTH SIDE,Scarborough-Rouge Park
5150,FINCH AVE EAST AT MILLIKEN BLVD,Scarborough-Agincourt
5151,SHEPPARD AVE EAST AT DUDLEY AVE,Willowdale
5152,DAWES RD AT PARK VISTA SOUTH SIDE,Beaches-East York
5153,PHARMACY AVE AT PRINCEWAY DR,Scarborough Centre
5154,BIRCHMOUNT RD AT HIGHWAY 401 (WALKWAY NORTH OF ROLARK),Scarborough Centre
5155,MEADOWVALE RD AT MUIRBANK BLVD,Scarborough-Rouge Park
5156,GERRARD ST EAST AT BOWMORE RD,Beaches-East York
5157,JANE ST AT YORKWOODS GATE,Humber River-Black Creek
5158,LAWRENCE AVE WEST AT DUPLEX AVE,Eglinton-Lawrence
5159,KENNEDY RD AT BONIS AVE SOUTH SIDE,Scarborough-Agincourt
5160,ELMHURST DR AT ALBION RD WEST SIDE,Etobicoke North
5161,EGLINTON AVE EAST AT REDPATH AVE,Toronto-St. Paul's
5162,251 CONSUMERS RD,Don Valley North
5163,NEILSON RD AT MCLEVIN AVE,Scarborough-Rouge Park
5164,RUNNYMEDE RD AT HENRIETTA ST,York South-Weston
5165,709 MILNER AVE,Scarborough-Rouge Park
5166,289 HORNER AVE,Etobicoke-Lakeshore
5167,THE EAST MALL AT YARN RD SOUTH SIDE,Etobicoke-Lakeshore
5168,GUILDWOOD PKWY AT FORSYTHIA DR,Scarborough-Guildwood
5169,STEELES AVE EAST AT BLUFFWOOD DR,Don Valley North
5170,HORNER AVE AT BETA ST,Etobicoke-Lakeshore
5171,BERRY RD AT STEPHEN DR,Etobicoke-Lakeshore
5172,BLOOR ST WEST AT DOVERCOURT RD,Davenport
5173,QUEEN ST EAST AT CARROLL ST,Toronto-Danforth
5174,VICTORIA PARK AVE AT CONROY AVE,Scarborough Southwest
5175,WESTLAKE AVE AT HAMSTEAD AVE,Beaches-East York
5176,OLD FINCH AVE AT KENGATE DR,Scarborough-Rouge Park
5177,QUEEN ST EAST AT EMPIRE AVE,Toronto-Danforth
5178,4600 BATHURST ST,York Centre
5179,MARKHAM RD AT EGLINTON AVE EAST,Scarborough-Guildwood
5180,143 CHURCH ST,York South-Weston
5181,TRETHEWEY DR AT TODD BAYLIS BLVD,York South-Weston
5182,KIPLING AVE AT DIXON RD NORTH SIDE,Etobicoke North
5183,ROGERS RD AT SCOTT RD,York South-Weston
5184,CROW TRAIL AT BRADSTONE SQ,Scarborough North
5185,PARKWOODS VILLAGE DR AT BROOKBANKS DR,Don Valley East
5186,DUNDAS ST WEST AT DENISON AVE,Spadina-Fort York
5187,GRANDRAVINE DR AT FUTURA DR,Humber River-Black Creek
5188,DUNDAS ST EAST AT RIVER ST,Toronto Centre
5189,THE WEST MALL AT BURNHAMTHORPE RD,Etobicoke Centre
5190,SOUTHWOOD DR AT GLEN AMES,Beaches-East York
5191,ELLESMERE RD AT BOROUGH APPROACH EAST,Scarborough Centre
5192,WELLESWORTH DR AT THE WEST MALL,Etobicoke Centre
5193,DANFORTH RD AT EGLINTON AVE EAST,Scarborough Southwest
5194,CONSUMERS RD AT SHEPPARD AVE EAST SOUTH SIDE,Don Valley North
5195,KEELE ST AT RUSTIC RD,York South-Weston
5196,OPPOSITE 38 CARNFORTH RD,Don Valley East
5197,LAWRENCE AVE EAST AT DINNICK CRES EAST SIDE,Don Valley West
5198,682 WARDEN AVE,Scarborough Southwest
5199,VICTORIA PARK AVE AT ESQUIRE RD,Scarborough-Agincourt
5200,CHERRY ST AT VILLIERS ST SOUTH SIDE,Toronto-Danforth
5201,DIXON RD AT ROYAL YORK RD EAST SIDE,Etobicoke Centre
5202,DAVENPORT RD AT LANSDOWNE AVE,Davenport
5203,KIPLING AVE AT TORLAKE CRES (NORTH),Etobicoke-Lakeshore
5204,RATHBURN RD AT MELBERT RD,Etobicoke Centre
5205,ST CLAIR AVE EAST AT FERMOY RD,Scarborough Southwest
5206,SHEPPARD AVE EAST AT GLEN WATFORD DR EAST SIDE,Scarborough North
5207,AVON LOOP AT WESTON RD,York South-Weston
5208,DUFFERIN ST AT LAPPIN AVE SOUTH SIDE,Davenport
5209,DUPONT ST AT CHRISTIE ST,University-Rosedale
5210,FINCH AVE EAST AT WILLOWDALE AVE,Willowdale
5211,KINGSTON RD AT MORNINGSIDE AVE,Scarborough-Guildwood
5212,MCCOWAN RD AT STEELES AVE EAST,Scarborough North
5213,DUNDAS ST WEST AT THE EAST MALL CRES,Etobicoke-Lakeshore
5214,BALDOON RD AT FINCH AVE EAST,Scarborough North
5215,STEELES AVE EAST AT WALKWAY TO ENCHANTED HILLS CRES,Scarborough North
5216,MT PLEASANT RD AT HEATH ST EAST,University-Rosedale
5217,ROYAL YORK RD AT ROMNEY RD,Etobicoke Centre
5218,KENNEDY RD AT CORNWALLIS DR NORTH SIDE,Scarborough Centre
5219,PROGRESS AVE AT MILNER BUSINESS CRT SOUTH SIDE,Scarborough North
5220,BIRCHMOUNT RD AT SHEPPARD AVE EAST,Scarborough-Agincourt
5221,SPADINA AVE AT COLLEGE ST NORTH SIDE,University-Rosedale
5222,PROGRESS AVE AT COSENTINO DR WEST SIDE,Scarborough Centre
5223,LUMSDEN AVE AT OAK PARK AVE,Beaches-East York
5224,SENLAC RD AT PARK HOME AVE NORTH SIDE,Willowdale
5225,EGLINTON AVE EAST AT RUMSEY RD,Don Valley West
5226,BAY ST AT GROSVENOR ST,University-Rosedale
5227,WARDEN AVE AT MCNICOLL AVE NORTH SIDE,Scarborough-Agincourt
5228,OAKDALE RD AT SHEPPARD AVE WEST,Humber River-Black Creek
5229,ANNETTE ST AT GILMOUR AVE,Parkdale-High Park
5230,DANFORTH AVE AT EASTWOOD AVE,Scarborough Southwest
5231,BERMONDSEY RD AT SUNRISE AVE,Don Valley East
5232,BAYVIEW AVE AT CUMMER AVE,Willowdale
5233,BLOOR ST WEST AT ROYAL YORK RD WEST SIDE,Etobicoke-Lakeshore
5234,SHEPPARD AVE WEST AT KEELE ST,York Centre
5235,DOUGLAS DR AT DOUGLAS DR (CHORLEY PARK),University-Rosedale
5236,20 RAILSIDE RD,Don Valley East
5237,DON MILLS RD AT KERN RD NORTH SIDE,Don Valley East
5238,755 OAKDALE RD,Humber River-Black Creek
5239,BELFIELD RD AT C.N. WEST SPUR,Etobicoke North
5240,DANFORTH RD AT BIRCHMOUNT RD WEST SIDE,Scarborough Southwest
5241,MEADOWVALE RD AT ELLESMERE RD,Scarborough-Rouge Park
5242,CALEDONIA RD AT ROGERS RD,Davenport
5243,PROGRESS AVE AT ROSEBANK DR,Scarborough North
5244,ISLINGTON AVE AT HOLGATE ST,Etobicoke Centre
5245,BURNHAMTHORPE RD AT THE WEST MALL,Etobicoke Centre
5246,BATHURST ST AT QUEENS QUAY WEST NORTH SIDE BILLY BISHOP AIRPORT,Spadina-Fort York
5247,EGLINTON AVE EAST AT WARDEN AVE,Scarborough Centre
5248,FINCH AVE EAST AT ESTELLE AVE,Willowdale
5249,PARK LAWN RD AT THE QUEENSWAY SOUTH SIDE,Etobicoke-Lakeshore
5250,DANFORTH RD AT GLENSHEPHARD DR (WEST),Scarborough Southwest
5251,AVENUE RD AT CARMICHAEL AVE,Eglinton-Lawrence
5252,WILLOWDALE AVE AT SPRING GARDEN AVE,Willowdale
5253,O'CONNOR DR AT MILTON RD,Toronto-Danforth
5254,UPPER HIGHLAND CRES AT YORK MILLS RD,Don Valley West
5255,LAWRENCE WEST STATION,Eglinton-Lawrence
5256,MIDLAND AVE AT LORRAINE AVE,Scarborough Southwest
5257,STEELES AVE EAST AT MOUNT CASTLE GATE,outside_wards
5258,STEELES AVE EAST AT MCCOWAN RD,outside_wards
5259,COLLEGE ST AT AUGUSTA AVE,University-Rosedale
5260,BANNATYNE DR AT DAVEAN DR,Don Valley West
5261,6655 AIRPORT RD,outside_wards
5262,OLD FINCH AVE AT VALLEY CENTRE DR (WEST) WEST SIDE,Scarborough-Rouge Park
5263,DANFORTH RD AT MIDLAND AVE,Scarborough Southwest
5264,BLOOR ST WEST AT RUNNYMEDE RD,Parkdale-High Park
5265,BRIMLEY RD AT DANJOHN CRES (NORTH),Scarborough North
5266,YONGE ST AT DAVISVILLE AVE NORTH SIDE,Toronto-St. Paul's
5267,FINCH AVE WEST AT GREENVIEW AVE,Willowdale
5268,ST DENNIS DR AT LINKWOOD LANE,Don Valley East
5269,STEELES AVE EAST AT HENDERSON AVE,outside_wards
5270,WESTON RD AT DEE AVE,York South-Weston
5271,75 MILNER AVE,Scarborough North
5272,BLOOR ST WEST AT ST GEORGE ST,University-Rosedale
5273,MARKHAM RD AT PASSMORE AVE,Scarborough North
5274,DUNDAS ST WEST AT HUMBERSIDE AVE,Parkdale-High Park
5275,FINCH AVE EAST AT LESLIE ST WEST SIDE,Don Valley North
5276,BAY ST AT CUMBERLAND ST (BAY STATION),University-Rosedale
5277,STEELES AVE WEST LOOP AT ISLINGTON AVE,outside_wards
5278,JANE ST AT FOXWELL ST,York South-Weston
5279,ST REGIS CRES AT KEELE ST,York Centre
5280,JOHN GARLAND BLVD AT KIPLING AVE,Etobicoke North
5281,JANE ST AT DRIFTWOOD AVE NORTH SIDE,Humber River-Black Creek
5282,HINTON RD AT ELMHURST DR,Etobicoke North
5283,UPHILL AVE AT WOODWARD AVE,York South-Weston
5284,LONGBOURNE DR AT WILLOWRIDGE RD,Etobicoke North
5285,DUFFERIN ST AT SAMOR RD SOUTH SIDE,Eglinton-Lawrence
5286,PARLIAMENT ST AT QUEEN ST EAST,Toronto Centre
5287,CALEDONIA RD AT CARTWRIGHT AVE,Eglinton-Lawrence
5288,O'CONNOR DR AT ATHLONE RD WEST SIDE,Toronto-Danforth
5289,YONGE ST AT GLENCAIRN AVE,Don Valley West
5290,PARKSIDE DR AT HOWARD PARK AVE,Parkdale-High Park
5291,STEELES AVE EAST AT PAUL MARKWAY EAST SIDE,Don Valley North
5292,673 WARDEN AVE,Scarborough Southwest
5293,SPADINA RD AT HEATH ST WEST,Toronto-St. Paul's
5294,SHEPPARD AVE EAST AT TALLPINES CRT,Scarborough-Rouge Park
5295,WESTON RD AT ALBION RD SOUTH SIDE,Humber River-Black Creek
5296,GATEWAY BLVD AT DON MILLS RD,Don Valley East
5297,ST DENNIS DR AT DON MILLS RD EAST SIDE,Don Valley East
5298,VICTORIA PARK AVE AT VALDANE DR,Beaches-East York
5299,SHEPPARD AVE WEST AT JOHN DRURY DR,York Centre
5300,DUFFERIN ST AT DOLOMITE DR,York Centre
5301,BEDFORD RD AT BERNARD AVE SOUTH SIDE,University-Rosedale
5302,LAKE SHORE BLVD WEST AT ISLINGTON AVE,Etobicoke-Lakeshore
5303,4717 JANE ST,Humber River-Black Creek
5304,VICTORIA PARK AVE AT SWEENEY DR SOUTH SIDE,Don Valley East
5305,LAKE SHORE BLVD WEST AT PARK LAWN RD WEST SIDE,Etobicoke-Lakeshore
5306,LAWRENCE AVE EAST AT BRIDGEPORT DR,Scarborough-Rouge Park
5307,BIRCHMOUNT RD AT EXFORD DR NORTH SIDE,Scarborough Centre
5308,SUTHERLAND DR AT ROLPH RD,Don Valley West
5309,1234 DUPONT ST,Davenport
5310,O'CONNOR DR AT GLENWOOD CRES,Beaches-East York
5311,PHARMACY AVE AT DAWES RD,Scarborough Southwest
5312,DUNDAS ST EAST AT YONGE ST (DUNDAS STATION),Toronto Centre
5313,DUNDAS ST WEST AT CHELSEA AVE NORTH SIDE,Parkdale-High Park
5314,HUNTINGWOOD DR AT KITTERY BLVD,Scarborough-Agincourt
5315,MILL RD AT RATHBURN RD LOOP,Etobicoke Centre
5316,KEELE ST AT JUNCTION RD,York South-Weston
5317,DUPONT ST AT SYMINGTON AVE,Davenport
5318,CHERRY ST AT UNWIN AVE NORTH SIDE,Toronto-Danforth
5319,WARDEN AVE AT MACK AVE NORTH SIDE,Scarborough Southwest
5320,CARLINGVIEW DR AT METEOR DR SOUTH SIDE,Etobicoke North
5321,QUEEN ST WEST AT JOHN ST,Spadina-Fort York
5322,LINKWOOD LANE AT OPPOSITE 5 SHADY GOLFWAY,Don Valley East
5323,400 DANFORTH RD (BIRCHMOUNT GARAGE),Scarborough Southwest
5324,CHAPLIN CRES AT DUNCANNON DR,Toronto-St. Paul's
5325,LAMBTON AVE AT WESTON RD WEST SIDE,York South-Weston
5326,195-205-215 WYNFORD DR,Don Valley East
5327,CRESCENT RD AT CLUNY DR,University-Rosedale
5328,RANEE AVE AT MIKADO AVE,Eglinton-Lawrence
5329,280 YORKLAND BLVD (NORTH),Don Valley North
5330,32 CARLUKE CRES,Don Valley West
5331,DISCO RD AT BROCKPORT DR WEST SIDE,Etobicoke North
5332,THE DONWAY EAST AT DUTCH MYRTLEWAY,Don Valley East
5333,YONGE ST AT PARK HOME AVE (NORTH YORK CENTRE STATION),Willowdale
5334,ST CLAIR AVE EAST AT GLENBURN AVE,Beaches-East York
5335,KEELE ST AT WEST TORONTO ST,York South-Weston
5336,EVANS AVE AT ARNOLD ST,Etobicoke-Lakeshore
5337,ISLINGTON AVE AT KINGSMOOR GATE NORTH SIDE,Etobicoke North
5338,SHEPPARD AVE EAST AT RAINBOW RIDGE AVE,Scarborough-Rouge Park
5339,WILSON AVE AT DALLNER RD,Humber River-Black Creek
5340,MCCOWAN RD AT 14TH AVE,outside_wards
5341,NEWGALE GATE AT FINCHDENE SQ WEST SIDE,Scarborough North
5342,THE QUEENSWAY AT GLENDALE AVE (ST JOSEPH'S),Parkdale-High Park
5343,2980 DON MILLS RD,Don Valley North
5344,YONGE ST AT ELMHURST AVE,Willowdale
5345,OSSINGTON AVE AT ESSEX ST,University-Rosedale
5346,SHEPPARD AVE WEST AT GORMAN PARK RD,York Centre
5347,BIRCHMOUNT RD AT CANADIAN RD,Scarborough Centre
5348,KENNEDY RD AT LAWRENCE AVE EAST,Scarborough Centre
5349,JANE ST AT WEATHERELL ST,Parkdale-High Park
5350,BAYVIEW AVE AT FINCH AVE EAST NORTH SIDE,Don Valley North
5351,FINCH AVE WEST AT SENTINEL RD,Humber River-Black Creek
5352,HUNTINGWOOD DR AT VICTORIA PARK AVE,Scarborough-Agincourt
5353,WILLOWDALE AVE AT OTONABEE AVE,Willowdale
5354,OPPOSITE 215 HORNER AVE,Etobicoke-Lakeshore
5355,MILNER AVE AT BURROWS HALL BLVD,Scarborough North
5356,ROYAL YORK RD AT USHER AVE,Etobicoke-Lakeshore
5357,2501 STEELES AVE WEST,York Centre
5358,CARLINGVIEW DR AT RENFORTH DR,Etobicoke North
5359,DON MILLS RD AT WYNFORD DR,Don Valley East
5360,MCNICOLL AVE AT INNISLAWN RD,Scarborough-Agincourt
5361,KENNEDY RD AT STRATTON AVE,Scarborough Centre
5362,ST DENNIS DR AT OPPOSITE 195-205-215 WYNFORD DR,Don Valley East
5363,QUEEN ST EAST AT LOGAN AVE,Toronto-Danforth
5364,DON MILLS RD AT FAIRVIEW MALL DR NORTH SIDE,Don Valley North
5365,BRENYON WAY AT PIONEER PATHWAY,Scarborough-Rouge Park
5366,FINCH AVE EAST AT WINLOCK PARK,Willowdale
5367,OPPOSITE 709 MILNER AVE,Scarborough-Rouge Park
5368,POND RD AT IAN MACDONALD BLVD,Humber River-Black Creek
5369,LAWRENCE AVE EAST AT BELLAMY RD NORTH WEST SIDE,Scarborough-Guildwood
5370,BANNATYNE DR AT LESLIE ST,Don Valley West
5371,EGLINTON AVE WEST AT NAIRN AVE,Davenport
5372,VALLEY WOODS RD AT YORK MILLS RD,Don Valley East
5373,HACKBERRY ST AT ELSWICK RD,Beaches-East York
5374,PRINCE EDWARD DR SOUTH AT BLOOR ST WEST SOUTH SIDE,Etobicoke-Lakeshore
5375,LOUVAIN ST AT HUMBER BLVD,York South-Weston
5376,BRIMLEY RD AT LOMBARDY CRES NORTH SIDE,Scarborough Southwest
5377,KIPLING AVE AT HINTON RD,Etobicoke North
5378,CALVINGTON DR AT DALRAITH RD,York Centre
5379,STEELES AVE EAST AT MARKHAM RD WEST SIDE,outside_wards
5380,MCNICOLL AVE AT STONEBRIDGE BLVD,Scarborough-Agincourt
5381,THE WESTWAY AT KIPLING AVE,Etobicoke Centre
