,stop_name,Ward_name
146,QUEEN ST WEST AT SHAW ST,Spadina-Fort York
147,QUEEN'S PARK CRES WEST AT HOSKIN AVE,University-Rosedale
148,QUEEN'S PARK CRES EAST AT ST JOSEPH ST NORTH SIDE,University-Rosedale
149,THE QUEENSWAY AT MORGAN AVE,Etobicoke-Lakeshore
150,THE QUEENSWAY AT STEPHEN DR,Etobicoke-Lakeshore
151,THE QUEENSWAY AT WINDERMERE AVE WEST SIDE,Parkdale-High Park
152,55 RANKIN AVE,Davenport
153,RATHBURN RD AT LLOYD MANOR RD,Etobicoke Centre
154,RENFORTH DR AT EGLINTON AVE WEST,Etobicoke Centre
155,ROGERS RD AT KEELE ST,York South-Weston
156,ROYAL YORK RD AT DIXON RD,Etobicoke Centre
157,ROYAL YORK RD AT EGLINTON AVE WEST SOUTH SIDE,Etobicoke Centre
158,SENTINEL RD AT FINCH AVE WEST,Humber River-Black Creek
159,SENTINEL RD AT THE POND RD,Humber River-Black Creek
160,SEWELLS RD AT BRENYON WAY EAST SIDE,Scarborough-Rouge Park
161,SEWELLS RD AT BRENYON WAY,Scarborough-Rouge Park
162,SEWELLS RD AT MCLEVIN AVE,Scarborough-Rouge Park
163,SHEPPARD AVE EAST AT COMMONS DR,Scarborough-Agincourt
164,SHEPPARD AVE EAST AT COMMONS DR,Scarborough-Agincourt
165,SHEPPARD AVE EAST AT MEADOWVALE RD,Scarborough-Rouge Park
166,SHEPPARD AVE EAST AT VICTORIA PARK AVE EAST SIDE,Scarborough-Agincourt
167,SHEPPARD AVE WEST AT JANE ST EAST SIDE,York Centre
168,SHEPPARD AVE WEST AT SENTINEL RD,York Centre
169,SHEPPARD AVE WEST AT WILLIAM R ALLEN RD WEST SIDE,York Centre
170,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),Etobicoke-Lakeshore
171,SHERWAY GARDENS RD AT SHERWAY GATE (MALL) WEST SIDE,Etobicoke-Lakeshore
172,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),Etobicoke-Lakeshore
173,SHERWAY GARDENS RD AT SHERWAY GATE MALL),Etobicoke-Lakeshore
174,MAIN ST AT DANFORTH AVE,Beaches-East York
175,MAIN ST AT DANFORTH AVE,Beaches-East York
176,MAIN ST AT DONCASTER AVE,Beaches-East York
177,MAIN ST AT GERRARD ST EAST,Beaches-East York
178,MAIN ST AT GERRARD ST EAST,Beaches-East York
179,MARKHAM RD AT PASSMORE AVE NORTH SIDE,Scarborough North
180,MARTIN GROVE RD AT FINCH AVE WEST NORTH SIDE,Etobicoke North
181,MARTIN GROVE RD AT JOHN GARLAND BLVD,Etobicoke North
182,MARTIN GROVE RD AT MERCURY RD,Etobicoke North
183,WESTHUMBER BLVD AT MARTIN GROVE RD NORTH SIDE,Etobicoke North
184,2061 MCCOWAN RD,Scarborough North
185,MCCOWAN RD AT BUSHBY DR NORTH SIDE,Scarborough-Guildwood
186,MCCOWAN RD AT ELSON ST,outside_wards
187,MCCOWAN RD AT STEELES AVE EAST NORTH SIDE,outside_wards
188,MCCOWAN RD AT STEELES AVE EAST SOUTH SIDE,Scarborough North
189,MCCOWAN RD AT TOWN CENTRE CRT,Scarborough Centre
190,1020 MCNICOLL AVE,Scarborough-Agincourt
191,MCNICOLL AVE AT SILVER SPRINGS BLVD,Scarborough-Agincourt
192,MCNICOLL AVE AT SILVER SPRINGS BLVD,Scarborough-Agincourt
193,MCNICOLL AVE AT VICTORIA PARK AVE,Don Valley North
194,MEADOWVALE RD AT SHEPPARD AVE EAST,Scarborough-Rouge Park
195,MILITARY TRAIL AT MORNINGSIDE AVE,Scarborough-Rouge Park
196,MILLWOOD RD AT OVERLEA BLVD NORTH SIDE,Don Valley West
197,MILLWOOD RD AT OVERLEA BLVD,Don Valley West
198,MORNINGSIDE AVE AT CASEBRIDGE CRT NORTH SIDE,Scarborough-Rouge Park
199,MORNINGSIDE AVE AT JOHN STONER DR SOUTH SIDE,Scarborough-Rouge Park
200,NIGHTSTAR RD AT MORNINGSIDE AVE NORTH SIDE,Scarborough-Rouge Park
201,MORNINGSIDE AVE AT WALKWAY SOUTH OF OASIS,Scarborough North
202,MORNING STAR DR AT CATALPA RD,outside_wards
203,MORNING STAR DR AT CATALPA RD,outside_wards
204,MORNING STAR DR AT AIRPORT RD EAST SIDE,outside_wards
205,MORNING STAR DR AT LANCASTER AVE,outside_wards
206,MORNING STAR DR AT MANION RD,outside_wards
207,MORNING STAR DR AT REINDEER DR WEST SIDE,outside_wards
208,MORNING STAR DR AT REINDEER DR,outside_wards
209,MORTIMER AVE AT COXWELL AVE WEST SIDE (MICHAEL GARRON HOSPITAL),Toronto-Danforth
210,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,Scarborough North
211,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,Scarborough North
212,OAKWOOD AVE AT EGLINTON AVE WEST SOUTH SIDE,Toronto-St. Paul's
213,OAKWOOD AVE AT ROGERS RD,Toronto-St. Paul's
214,O'CONNOR DR AT PAPE AVE,Toronto-Danforth
215,OLD WESTON RD AT ST CLAIR AVE WEST NORTH SIDE,Davenport
216,OLD WESTON RD AT ST CLAIR AVE WEST,Davenport
217,OLD WESTON RD AT ST CLAIR AVE WEST,Davenport
218,OSSINGTON AVE AT BLOOR ST WEST,University-Rosedale
219,OSSINGTON AVE AT BLOOR ST WEST,Davenport
220,OVERLEA BLVD AT MILLWOOD RD EAST SIDE,Don Valley West
221,OVERLEA BLVD AT MILLWOOD RD,Don Valley West
222,OVERLEA BLVD AT THORNCLIFFE PARK DR (EAST),Don Valley West
223,PAPE AVE AT LIPTON AVE NORTH SIDE,Toronto-Danforth
224,PAPE AVE AT O'CONNOR DR NORTH SIDE,Toronto-Danforth
225,PARLIAMENT ST AT CARLTON ST,Toronto Centre
226,PARLIAMENT ST AT GERRARD ST EAST,Toronto Centre
227,PETER KAISER GATE AT STEELES AVE WEST,Humber River-Black Creek
228,PHARMACY AVE AT ELLESMERE RD,Scarborough Centre
229,PORT UNION RD AT ADENMORE RD NORTH SIDE,Scarborough-Rouge Park
230,FINCH AVE WEST AT DUFFERIN ST,York Centre
231,FINCH AVE WEST AT JANE ST,Humber River-Black Creek
232,FINCH AVE WEST AT MARTIN GROVE RD WEST SIDE,Etobicoke North
233,FINCH AVE WEST AT RUMIKE RD EAST SIDE,Humber River-Black Creek
234,FINCH AVE WEST AT SENLAC RD,Willowdale
235,FINCH AVE WEST AT SENTINEL RD EAST SIDE,Humber River-Black Creek
236,FINCH AVE WEST AT WILMINGTON AVE,York Centre
237,FLEET ST AT BATHURST ST,Spadina-Fort York
238,FRESHMEADOW DR AT DON MILLS RD,Don Valley North
239,FRESHMEADOW DR AT DON MILLS RD,Don Valley North
240,FRONT ST EAST AT BERKELEY ST,Toronto Centre
241,FRONT ST WEST AT BAY ST EAST SIDE (UNION STATION),Spadina-Fort York
242,GLEN RD AT SOUTH DR,University-Rosedale
243,LAWSON RD AT KINGSTON RD (HIGHWAY 2A OVERPASS),Scarborough-Rouge Park
244,HIGHLAND CREEK OVERPASS AT KINGSTON RD,Scarborough-Rouge Park
245,HIGHLAND CREEK OVERPASS AT KINGSTON RD,Scarborough-Rouge Park
246,HIGHWAY 27 AT QUEENS PLATE DR (WOODBINE MALL),Etobicoke North
247,HUMBER COLLEGE BLVD AT CARRIER DR,Etobicoke North
248,HUMBER COLLEGE BLVD AT HUMBERLINE DR SOUTH SIDE,Etobicoke North
249,HUMBER COLLEGE BLVD AT HUMBERLINE DR,Etobicoke North
250,HUMBERLINE DR AT HUMBER COLLEGE BLVD WEST SIDE,Etobicoke North
251,HUMBERLINE DR AT HUMBER COLLEGE BLVD,Etobicoke North
252,ISLINGTON AVE AT BLOOR ST WEST NORTH SIDE,Etobicoke-Lakeshore
253,ISLINGTON AVE AT BLOOR ST WEST,Etobicoke-Lakeshore
254,ISLINGTON AVE AT BLOOR ST WEST,Etobicoke-Lakeshore
255,ISLINGTON AVE AT CENTRAL PARK ROADWAY SOUTH SIDE,Etobicoke-Lakeshore
256,ISLINGTON AVE AT FINCH AVE WEST,Etobicoke North
257,JANE ST AT ANNETTE ST,Parkdale-High Park
258,JANE ST AT TRETHEWEY DR,York South-Weston
259,JANE ST AT FINCH AVE WEST SOUTH SIDE,Humber River-Black Creek
260,JANE ST AT HEATHROW DR,York Centre
261,JANE ST AT HULLMAR DR,Humber River-Black Creek
262,JANE ST AT HULLMAR DR,Humber River-Black Creek
