34,EGLINTON AND LEBOVIC,27
47,LANSDOWNE AND QUEEN,27
40,KIPLING STATION,27
57,MIDLAND AND STEELES,27
23,MAIN STREET STATION,26
91,WOODBINE STATION,26
96,CARRIER LOOP,26
66,OLD MILL STATION,26
116,MORNINGSIDE AND NIGHTS,26
939,FINCH AND KENNEDY,26
100,DON MILLS AND WYNFORD,25
116,MORNINGSIDE AND SHEPPA,25
7,GREENWIN VILLAGE AND B,25
105,SHEPPARD WEST STATION,25
87,BROADVIEW STATION,25
32,PINE AND LAWRENCE,25
84,WESTON AND BRADSTOCK,25
110,LONG BRANCH LOOP,25
56,EGLINTON STATION,25
65,CASTLE FRANK STATION,25
102,MARKHAM AND PROGRESS,24
133,SCARBOROUGH CENTRE STATION,24
989,KEELE STATION,24
63,ATLANTIC AND KING,24
84,SHEPPARD STATION,24
68,WARDEN STATION,24
79,RUNNYMEDE STATION,24
70,COXWELL STATION,24
81,PAPE STATION,24
996,YORK MILLS STATION,23
44,KIPLING STATION,23
168,AVON LOOP,23
57,KENNEDY STATION,23
125,FINCH STATION,22
17,WARDEN STATION,22
126,ST CLAIR WEST STATION,22
102,MARKHAM AND SHEPPARD,22
79,PINE AND LAWRENCE,22
41,KEELE AND EGLINTON,22
110,ISLINGTON AND EVANS,22
97,DAVISVILLE STATION,22
320,YONGE AND QUEENS QUAY,21
108,PIONEER VILLAGE STATION,21
41,KEELE AND WILSON,21
986,KENNEDY STATION,21
87,MAIN STATION,21
35,JANE AND WILSON,21
9,WARDEN STATION,21
36,FINCH AND ISLINGTON,21
97,YONGE AND YORK MILLS,20
85,SHEPPARD AND MARKHAM,20
21,SCARBOROUGH CENTRE STATION,20
134,SCARBOROUGH CENTRE STATION,20
121,FRONT AND BAY,20
12,KENNEDY STATION,20
29,DUFFERIN AND DUNDAS,19
89,ALBION AND WESTON,19
13,EGLINTON STATION,19
61,EGLINTON STATION,19
925,DON MILLS STATION,19
168,DUNDAS WEST STATION,19
20,MAIN STREET STATION,19
945,KIPLING STATION,19
92,WOODBINE STATION,19
165,BARMAC AND STEELES,19
38,SCARBOROUGH CENTRE STATION,19
161,OSSINGTON STATION,19
95,RYLANDER AND KINGSTON,18
53,STEELES AND KENNEDY,18
35,JANE AND LAWRENCE,18
69,WARDEN STATION,18
52,PEARSON AIRPORT TERMIN,18
129,SCARBOROUGH CENTRE STATION,18
97,YONGE AND WILSON,18
939,FINCH WEST STATION,18
41,KEELE AND LAWRENCE,18
160,WILSON STATION,17
43,KENNEDY AND MCNICOLL,17
85,SHEPPARD AND KENNEDY,17
94,OSSINGTON STATION,17
52,LAWRENCE AND WESTON,17
34,EGLINTON AND DON MILLS,17
320,STEELES AND YONGE,17
929,DUFFERIN AND LAWRENCE,17
953,FINCH STATION,17
45,KIPLING AND STEELES,17
63,WILSON GARAGE,17
51,EGLINTON STATION,17
7,BATHURST AND LAWRENCE,17
100,WYNFORD AND DON MILLS,17
985,DON MILLS STATION,17
35,JANE AND EGLINTON,16
85,SHEPPARD AND MCCOWAN,16
35,JANE AND TRETHEWAY,16
29,DUFFERIN AND BLOOR,16
95,ELLESMERE AND MARKHAM,16
43,KENNEDY AND LAWRENCE,16
74,ST CLAIR STATION,16
70,WARDEN STATION,16
42,FINCH STATION,16
54,LAWRENCE AND MARKHAM,16
131,SCARBOROUGH CENTRE STATION,16
952,LAWRENCE STATION,16
113,KENNEDY STATION,15
119,WILSON STATION,15
36,FINCH AND KIPLING,15
63,KING AND ATLANTIC,15
85,MEADOWVALE LOOP,15
48,ROYAL YORK STATION,15
123,SHERWAY GARDENS,15
165,FINCH AND WESTON,15
300,KENNEDY STATION,15
36,FINCH AND JANE,15
320,YONGE AND EGLINTON,15
7,WILSON GARAGE,15
24,VICTORIA PARK AND LAWR,15
960,STEELES AND SIGNAL HIL,15
96,HUMBERLINE LOOP,15
924,VICTORIA PARK STATION,15
102,MARKHAM AND STEELES,15
35,JANE AND FINCH,15
129,MCCOWAN AND STEELES,15
42,MCNICOLL AND KENNEDY,15
7,BATHURST AND STEELES,14
905,MORRISH AND ELLESMERE,14
89,WESTON AND WALSH,14
67,VICTORIA PARK STATION,14
941,KEELE STATION,14
127,SPADINA STATION,14
32,EMMETT AND VERONA,14
925,DON MILLS AND EGLINTON,14
80,SHERWAY GARDENS,14
39,FINCH AND MCCOWAN,14
32,EGLINTON AND DUFFERIN,14
944,KIPLING STATION,14
64,MAIN STREET STATION,14
11,SUNNYBROOK HOSPITAL,14
78,YORK MILLS STATION,14
52,LAWRENCE AND RALPH,14
60,STEELES AND KEELE,13
26,ST GEORGE STATION,13
32,EGLINTON AND WESTON,13
37,HUMBERWOOD LOOP,13
984,SHEPPARD STATION,13
54,LAWRENCE AND KENNEDY,13
161,JANE AND ALLIANCE,13
29,DUFFERIN AND WILSON,13
75,LOWER JARVIS AND QUEEN,13
9,SCARBOROUGH CENTRE STATION,12
34,SPANBRIDGE AND GRENOBL,12
110,ISLINGTON AND BIRMINGH,12
75,SHERBOURNE AND WELLESL,12
