,Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Fleet
44579,1/11/22,36,14:55,Tuesday,FINCH WEST STATION,Operations - Operator,5,10,nan,3621
44969,1/13/22,104,16:50,Thursday,WILSON STATION,Operations - Operator,18,36,nan,8392
45185,1/14/22,96,21:01,Friday,WILSON AND FAYWOOD,Mechanical,19,38,W,3589
45329,1/15/22,29,15:13,Saturday,DUFFERIN AND HOLMESDAL,Mechanical,3,6,S,9055
45348,1/15/22,7,17:37,Saturday,BATHURST AND WILSON,Operations - Operator,7,15,W,9019
46767,1/22/22,106,19:23,Saturday,SHEPPARD WEST STATION,Operations - Operator,13,26,N,8327
47072,1/24/22,953,17:00,Monday,ENTIRE ROUTE,General Delay,6,12,nan,0
47126,1/25/22,7,05:07,Tuesday,WILSON GARAGE,Operations - Operator,29,10,nan,0
47134,1/25/22,106,05:58,Tuesday,SHEPPARD WEST STATION,Operations - Operator,10,18,nan,0
47136,1/25/22,989,06:04,Tuesday,WILSON GARAGE,Operations - Operator,15,29,nan,0
47982,1/30/22,41,22:14,Sunday,PIONEER VILLAGE STATIO,Mechanical,22,44,S,1056
48252,2/1/22,924,18:53,Tuesday,VICTORIA PARK AND SHEP,Cleaning - Unsanitary,9,19,N,8524
48307,2/2/22,107,06:50,Wednesday,SHEPPARD WEST STATION,Operations - Operator,10,20,nan,0
48500,2/3/22,937,05:50,Thursday,ISLINGTON STATION,Operations - Operator,12,24,N,0
49367,2/9/22,67,14:15,Wednesday,EGLINTON GARAGE,Operations - Operator,12,22,S,8624
49448,2/10/22,37,06:02,Thursday,EVANS AND THE EAST MAL,Mechanical,20,40,E,7918
49641,2/11/22,10,15:54,Friday,CLIPPER AND PLEASANT V,Diversion,0,0,N,3133
49972,2/13/22,75,23:33,Sunday,ROSEDALE STATION,Cleaning - Unsanitary,30,60,E,9213
50754,2/18/22,945,16:19,Friday,KIPLING AND ALBION,Mechanical,10,19,S,3746
50858,2/19/22,925,11:24,Saturday,PAPE AND COSBURN,Operations - Operator,9,18,N,8964
50925,2/19/22,69,17:33,Saturday,KIPLING STATION,Mechanical,10,20,S,1106
51067,2/20/22,63,18:30,Sunday,OSSINGTON AND DUPONT,Mechanical,8,16,W,8115
51216,2/22/22,54,14:45,Tuesday,EGLINTON STATION,Operations - Operator,6,12,E,0
51225,2/22/22,79,15:23,Tuesday,PINE AND LAWRENCE,Mechanical,24,48,nan,1136
51658,2/25/22,134,12:50,Friday,SCARBOROUGH CENTRE STA,Operations - Operator,16,32,N,1366
51665,2/25/22,59,13:17,Friday,LAWRENCE WEST STATION,Mechanical,45,90,E,8170
51680,2/25/22,47,14:13,Friday,WILSON GARAGE,Operations - Operator,6,11,nan,8306
52127,3/1/22,39,05:56,Tuesday,FINCH AND GORDON BAKER,Operations - Operator,5,10,nan,0
52200,3/1/22,36,19:01,Tuesday,FINCH AND SENTINEL,Mechanical,6,12,E,9128
52346,3/3/22,16,06:58,Thursday,WARDEN STATION,Mechanical,10,19,E,9211
52615,3/5/22,127,13:12,Saturday,SPADINA STATION,Operations - Operator,23,45,W,1116
52845,3/7/22,84,11:31,Monday,WESTON AND BRADSTOCK,Mechanical,8,16,E,3561
52942,3/7/22,60,21:37,Monday,PIONEER VILLAGE STATIO,Mechanical,10,20,E,8390
53013,3/8/22,925,16:36,Tuesday,PAPE STATION,Operations - Operator,10,19,N,8775
53898,3/16/22,300,05:01,Wednesday,THE EAST MALL AND BURN,Mechanical,17,34,S,1095
54005,3/16/22,95,15:47,Wednesday,ELLESMERE AND VICTORIA,Operations - Operator,11,22,E,1324
54085,3/17/22,60,05:43,Thursday,WILSON GARAGE,Operations - Operator,11,21,nan,0
54262,3/18/22,76,04:54,Friday,ROYAL YORK AND EVANS,Operations - Operator,15,31,S,0
54657,3/20/22,22,18:56,Sunday,BINGHAM LOOP,Mechanical,10,20,N,8570
55572,3/28/22,39,07:55,Monday,FINCH STATION,Operations - Operator,15,30,E,3263
55588,3/28/22,35,11:01,Monday,JANE AND TRETHEWEY,Mechanical,8,16,S,1004
55690,3/29/22,90,05:35,Tuesday,ST CLAIR WEST STATION,Operations - Operator,8,18,nan,0
55841,3/29/22,35,00:35,Tuesday,JANE AND SHOREHAM,Mechanical,9,19,N,1126
55860,3/30/22,13,06:38,Wednesday,EGLINTON STATION,Operations - Operator,20,40,nan,0
