,stop_name,Ward_name,zone_type
4197,BURNHAMTHORPE RD AT SILVER SHADOW PATH,Etobicoke Centre,Open Space Natural
4198,LAWRENCE AVE EAST AT THE DONWAY WEST,Don Valley East,Commercial Residential
4199,NEILSON RD AT SHEPPARD AVE EAST,Scarborough-Rouge Park,Institutional Place of Worship
4200,ROYAL YORK RD AT LA ROSE AVE,Etobicoke Centre,Residential Apartment
4201,SHEPPARD AVE WEST AT BANTING AVE,York Centre,Residential Multiple
4202,1120 BIRCHMOUNT RD,Scarborough Centre,Employment Industrial
4203,BLOOR ST EAST AT SHERBOURNE ST,Toronto Centre,Open Space Natural
4204,DON MILLS RD AT MCNICOLL AVE,Don Valley North,Open Space Recreation
4205,WELLESWORTH DR AT TORRINGTON DR,Etobicoke Centre,Residential Detached
4206,JANE ST AT WILSON AVE NORTH SIDE,York Centre,Open Space Natural
4207,ISLINGTON AVE AT MILADY RD,Humber River-Black Creek,Residential Multiple
4208,BRIMLEY RD AT BRIMORTON DR,Scarborough Centre,Residential Detached
4209,JONES AVE AT MYRTLE AVE,Toronto-Danforth,Residential
4210,BAYVIEW AVE AT VALLEY RD,Don Valley West,Residential Detached
4211,CROW TRAIL AT CARRYING PL,Scarborough North,Residential Detached
4212,VICTORIA PARK AVE AT ERNEST AVE,Don Valley North,Residential Apartment Commercial
4213,LAKE SHORE BLVD WEST AT SUPERIOR AVE,Etobicoke-Lakeshore,Commercial Residential
4214,O'CONNOR DR AT MILTON RD WEST SIDE,Toronto-Danforth,Residential Detached
4215,103 ORFUS RD,Eglinton-Lawrence,not_defined
4216,STEELES AVE WEST AT TANDEM RD,outside_wards,not_defined
4217,MORTIMER AVE AT BROADVIEW AVE EAST SIDE,Toronto-Danforth,Residential Semi-Detached
4218,BATHURST ST AT GLENGROVE AVE,Eglinton-Lawrence,Residential Apartment
4219,BELLAMY RD NORTH AT EGLINTON AVE EAST - EGLINTON GO STATION,Scarborough Centre,not_defined
4220,TORYORK DR AT MILVAN DR,Humber River-Black Creek,Employment Industrial
4221,AVENUE RD AT BROOKE AVE,Eglinton-Lawrence,Commercial Residential
4222,KINGSTON RD AT MANDERLEY DR,Scarborough Southwest,not_defined
4223,LESLIE ST AT THORNY VINEWAY (SOUTH) NORTH SIDE,Don Valley North,Residential Detached
4224,OPPOSITE 900 THE EAST MALL,Etobicoke Centre,Residential Detached
4225,DUNDAS ST WEST AT HUMBERSIDE AVE,Parkdale-High Park,Commercial Residential
4226,HUNTINGWOOD DR AT HARFLEUR RD,Scarborough-Agincourt,Residential Detached
4227,FINCH AVE EAST AT BRIDLETOWNE CIRCLE (WEST),Scarborough-Agincourt,not_defined
4228,BATHURST ST AT DOUGLAS AVE,Eglinton-Lawrence,Commercial Residential
4229,NEILSON RD AT MILITARY TRAIL SOUTH SIDE,Scarborough-Guildwood,Residential Townhouse
4230,CONCORDE PL AT MCDONALDS PL,Don Valley East,not_defined
4231,MAPLE LEAF DR AT LISCOMBE RD,York South-Weston,Residential Detached
4232,DAVENPORT RD AT BAY ST,University-Rosedale,not_defined
4233,BAYVIEW AVE AT SHEPPARD AVE EAST (BAYVIEW STATION),Willowdale,Open Space
4234,ST CLAIR AVE EAST AT LINDEN AVE - SCARBOROUGH GO STATION,Scarborough Southwest,not_defined
4235,CHRISTIE ST AT ST CLAIR AVE WEST,Toronto-St. Paul's,not_defined
4236,DOROTHY ST AT GREENWOOD AVE,Toronto-Danforth,Residential
4237,DUNDAS ST WEST AT PACIFIC AVE,Parkdale-High Park,Commercial Residential
4238,OPPOSITE 4981 BATHURST ST,York Centre,not_defined
4239,THE WESTWAY AT TREHORNE DR,Etobicoke Centre,Residential Detached
4240,PARLIAMENT ST AT DUNDAS ST EAST,Toronto Centre,Commercial Residential
4241,O'CONNOR DR AT CURITY AVE,Beaches-East York,Commercial Residential
4242,AIRPORT RD AT AMERICAN DR,outside_wards,not_defined
4243,JANE ST AT DUNDAS ST WEST SOUTH SIDE,Parkdale-High Park,Residential Multiple
4244,KIPLING AVE AT WARNICA AVE,Etobicoke-Lakeshore,Employment Industrial
4245,PELMO CRES AT LONGVIEW DR,York South-Weston,not_defined
4246,CHRISTIE ST AT DAVENPORT RD,Toronto-St. Paul's,Residential
4247,THE WEST MALL AT BURNHAMTHORPE RD,Etobicoke Centre,Commercial Residential
4248,EVANS AVE AT CARNARVON AVE,Etobicoke-Lakeshore,Residential Multiple
4249,PHARMACY AVE AT DEWEY DR,Scarborough Centre,not_defined
4250,GERRARD ST EAST AT MAIN ST,Beaches-East York,Open Space Recreation
4251,KENNEDY RD AT COLLINGWOOD ST,Scarborough-Agincourt,Commercial Residential
4252,FINCH AVE WEST AT TOBERMORY DR,Humber River-Black Creek,Residential Apartment
4253,DUFFERIN ST AT HOPE ST,Davenport,Residential
4254,DUFFERIN ST AT WHITLEY AVE,York Centre,Commercial Residential
4255,JANE ST AT RAVEN RD NORTH SIDE,York South-Weston,Utility and Transportation
4256,BLOOR ST WEST AT MILL RD,Etobicoke Centre,Residential Detached
4257,CURITY AVE AT O'CONNOR DR NORTH SIDE,Beaches-East York,Commercial Residential
4258,COXWELL AVE AT EASTWOOD RD,Beaches-East York,Commercial Residential
4259,LAKE SHORE BLVD WEST AT LONG BRANCH AVE,Etobicoke-Lakeshore,not_defined
4260,ST CLAIR AVE WEST AT SYMES RD,York South-Weston,Residential
4261,BAYVIEW AVE AT KILGOUR RD (CNIB),Don Valley West,Open Space Cemetery
4262,BAY ST AT WELLESLEY ST WEST SOUTH SIDE,University-Rosedale,not_defined
4263,HARBORD ST AT BATHURST ST,University-Rosedale,not_defined
4264,DUNDAS ST WEST AT WINDERMERE AVE,Parkdale-High Park,not_defined
4265,BROADVIEW AVE AT COSBURN AVE SOUTH SIDE,Toronto-Danforth,Residential Detached
4266,60 SOUTHPORT ST,Parkdale-High Park,Residential
4267,MIDLAND AVE AT MARCOS BLVD,Scarborough Centre,Residential Detached
4268,689 WARDEN AVE,Scarborough Southwest,not_defined
4269,MIDDLEFIELD RD AT COMPASS CRT,Scarborough North,not_defined
4270,HIGHLAND AVE AT GLEN RD,University-Rosedale,Residential Detached
4271,NUGGET AVE AT SHORTING RD,Scarborough North,Employment Industrial
4272,SHEPPARD AVE WEST AT MAGELLAN DR,Humber River-Black Creek,Residential Multiple
4273,FLEMINGTON RD AT STOCKTON RD NORTH SIDE,Eglinton-Lawrence,Residential Multiple
4274,HUMBERLINE DR AT FINCH AVE WEST SOUTH SIDE,Etobicoke North,Residential Detached
4275,YONGE BLVD AT WILSON AVE,Eglinton-Lawrence,Residential Detached
4276,PHARMACY AVE AT EGLINTON AVE EAST,Scarborough Southwest,not_defined
4277,STEELES AVE WEST AT KLONDIKE DR,outside_wards,not_defined
4278,BLOOR ST WEST AT SPADINA RD,University-Rosedale,Commercial Residential
4279,100 WYNFORD DR (BELL CANADA),Don Valley East,not_defined
4280,QUEEN ST EAST AT PARLIAMENT ST,Toronto Centre,Commercial Residential
4281,HORNER AVE AT THIRTIETH ST,Etobicoke-Lakeshore,Residential Multiple
4282,1111 ARROW RD,Humber River-Black Creek,not_defined
4283,MILLWOOD RD AT MCRAE DR,Don Valley West,Open Space Recreation
4284,VICTORIA PARK AVE AT PACHINO BLVD NORTH SIDE,Scarborough Centre,Residential Apartment
4285,5310 FINCH AVE EAST,Scarborough North,Employment Industrial
4286,YONGE ST AT ROSLIN AVE,Don Valley West,Commercial Residential
4287,BRIMLEY RD AT EAGLEDANCE DR,Scarborough North,Residential Detached
4288,VARNA DR AT TUNDRA LANE,Eglinton-Lawrence,Residential Detached
4289,BANNATYNE DR AT RIDERWOOD DR,Don Valley West,Residential Detached
4290,MCCOWAN RD AT PITFIELD RD,Scarborough North,Residential Apartment
4291,O'CONNOR DR AT YARDLEY AVE EAST SIDE,Beaches-East York,not_defined
4292,DUFFERIN ST AT MELBOURNE AVE,Parkdale-High Park,Employment Industrial Office
4293,MARKHAM RD AT GREENCEDAR CIRCT,Scarborough-Guildwood,Commercial Residential
4294,DUPONT ST AT KENDAL AVE,University-Rosedale,Residential
4295,BAYVIEW AVE AT GLENVALE BLVD,Don Valley West,Residential Multiple
4296,3030 BIRCHMOUNT RD (SCARBOROUGH HOSPITAL BIRCHMOUNT CAMPUS),Scarborough-Agincourt,Institutional Hospital
4297,250 DAVENPORT RD,University-Rosedale,Residential
4298,MANIZA RD AT POWELL RD,York Centre,Residential Detached
4299,RUNNYMEDE LOOP AT DUNDAS ST WEST,Parkdale-High Park,not_defined
4300,SHORNCLIFFE RD AT DUNDAS ST WEST SOUTH SIDE,Etobicoke-Lakeshore,Commercial Residential
4301,LAWRENCE AVE WEST AT DUVAL DR,York South-Weston,not_defined
4302,STEELES AVE EAST AT CONACHER DR,outside_wards,not_defined
4303,WILSON AVE AT APEX LANE,York Centre,Open Space Cemetery
4304,ROSELAWN AVE AT BATHURST ST EAST SIDE,Eglinton-Lawrence,Residential
4305,CACTUS AVE AT GREEN BUSH RD WEST SIDE,Willowdale,Residential Townhouse
4306,ST CLAIR AVE EAST AT SANTAMONICA BLVD,Scarborough Southwest,Open Space Natural
4307,THE WEST MALL CRES AT THE WEST MALL WEST SIDE,Etobicoke-Lakeshore,not_defined
4308,KINGSTON RD AT FRANKLIN AVE WEST SIDE,Scarborough-Rouge Park,Residential Detached
4309,JONES AVE AT STRATHCONA AVE,Toronto-Danforth,not_defined
4310,DUFFERIN ST AT AUBURN AVE,Davenport,Residential
4311,STEELES AVE WEST AT MARKBROOK LANE,Etobicoke North,Residential Apartment Commercial
4312,PARLIAMENT ST AT HOWARD ST SOUTH SIDE,Toronto Centre,Residential
4313,BATHURST ST AT ARDMORE RD,Toronto-St. Paul's,Residential
4314,MIDLAND AVE AT MIDLAND STATION,Scarborough Centre,Open Space Natural
4315,MCCOWAN RD AT BELLECHASSE ST NORTH SIDE,Scarborough-Guildwood,Residential Detached
4316,SHEPPARD AVE EAST AT GATEFORTH DR,Scarborough North,Commercial Residential
4317,SCARLETT RD AT CHAPMAN RD NORTH SIDE,Etobicoke Centre,Open Space Natural
4318,LANSDOWNE AVE AT BLOOR ST WEST,Davenport,Commercial Residential
4319,781 WARDEN AVE,Scarborough Southwest,not_defined
4320,MILNER AVE AT SCUNTHORPE RD,Scarborough North,Employment Industrial
4321,DAVENPORT RD AT LANSDOWNE AVE,Davenport,Utility and Transportation
4322,JONES AVE AT MYRTLE AVE SOUTH SIDE,Toronto-Danforth,Residential
4323,ALNESS ST AT DOLOMITE DR,York Centre,Employment Heavy Industrial
4324,12 THORNCLIFFE PARK DR,Don Valley West,not_defined
4325,MCCOWAN RD AT DEVONSHIRE AVE,outside_wards,not_defined
4326,50 TORYORK DR,Humber River-Black Creek,Employment Heavy Industrial
4327,SENTINEL RD AT LAMBERTON BLVD,Humber River-Black Creek,Residential Multiple
4328,BROADVIEW AVE AT CHESTER HILL RD,Toronto-Danforth,Commercial Residential
4329,1165 LESLIE ST,Don Valley East,not_defined
4330,DIXON RD AT CARLINGVIEW DR,Etobicoke North,not_defined
4331,BRIMLEY RD AT STEELES AVE EAST SOUTH SIDE,Scarborough North,Commercial Local
4332,BLOOR ST WEST AT PEACOCK AVE,Etobicoke Centre,Residential Detached
4333,MILNER AVE AT NOVOPHARM CRT,Scarborough North,Residential Multiple
4334,CLONMORE DR AT QUEENSBURY AVE,Scarborough Southwest,Residential Detached
4335,NEILSON RD AT MILITARY TRAIL,Scarborough-Guildwood,Residential Townhouse
4336,MORNINGSIDE AVE AT GREYABBEY TRAIL NORTH SIDE,Scarborough-Rouge Park,Residential Detached
4337,KEELE ST AT GEORGE APPLETON WAY,York Centre,not_defined
4338,BROADVIEW AVE AT BATER AVE,Toronto-Danforth,Commercial Residential
4339,JESMOND AVE AT OAKWOOD AVE,Toronto-St. Paul's,Residential Multiple
4340,RUNNYMEDE RD AT MAC GREGOR AVE,Parkdale-High Park,Residential
4341,LAKE SHORE BLVD WEST AT BURLINGTON ST,Etobicoke-Lakeshore,Commercial Residential
4342,BATHURST ST AT BURTON RD,Toronto-St. Paul's,Open Space
4343,LAKE SHORE BLVD WEST AT LEGION RD,Etobicoke-Lakeshore,not_defined
4344,HULLMAR DR AT RUTHMAR CRES (SOUTH),Humber River-Black Creek,Residential Detached
4345,LUMSDEN AVE AT MAIN ST,Beaches-East York,Commercial Local
4346,ISLINGTON AVE AT THE WESTWAY,Etobicoke Centre,Open Space Recreation
4347,BRIMLEY RD AT HUNTINGWOOD DR,Scarborough North,not_defined
4348,CHRISTIE STATION,University-Rosedale,Residential
4349,FAYWOOD BLVD AT JOEL SWIRSKY BLVD SOUTH SIDE,York Centre,Open Space Recreation
4350,SHEPPARD AVE EAST AT HARRISFARM GATE,Scarborough North,Commercial Residential
4351,VICTORIA PARK AVE AT EGLINTON SQ,Scarborough Southwest,Commercial Residential
4352,HUMBER COLLEGE BLVD AT WESTMORE DR (ETOBICOKE GENERAL HOSPITAL),Etobicoke North,not_defined
4353,KINGSTON RD AT BINGHAM AVE,Beaches-East York,Commercial Residential
4354,MARTIN ROSS AVE AT FLINT RD EAST SIDE,York Centre,Employment Heavy Industrial
4355,YONGE ST AT MANOR RD EAST,Toronto-St. Paul's,Commercial Residential
4356,DANFORTH RD AT LINDEN AVE,Scarborough Southwest,Residential Semi-Detached
4357,PARK LANE CIR AT POST RD,Don Valley West,Residential Detached
4358,LAKE SHORE BLVD WEST AT LEGION RD,Etobicoke-Lakeshore,Residential Apartment
4359,RUNNYMEDE RD AT ANNETTE ST,Parkdale-High Park,Commercial Residential
4360,740 ELLESMERE RD AT MONDEO DR,Scarborough Centre,not_defined
4361,DANFORTH AVE AT WESTLAKE AVE,Beaches-East York,Commercial Residential
4362,SENLAC RD AT YORK CEMETERY,Willowdale,Open Space Cemetery
4363,WILLOWDALE AVE AT STEELES AVE EAST SOUTH SIDE,Willowdale,Residential Detached
4364,GUILDWOOD PKWY AT KINGSTON RD SOUTH SIDE,Scarborough-Guildwood,Residential Multiple
4365,SHEPPARD AVE EAST AT HARRISFARM GATE,Scarborough North,Commercial Residential
4366,112 ORFUS RD,Eglinton-Lawrence,not_defined
4367,PARKVIEW HILL CRES AT ELSWICK RD,Beaches-East York,Residential Detached
4368,PAPE AVE AT BAIN AVE,Toronto-Danforth,Residential
4369,SHAW ST AT ADELAIDE ST WEST,Spadina-Fort York,not_defined
4370,BLOOR ST WEST AT KOOS RD,Etobicoke Centre,Residential Detached
4371,QUEEN ST EAST AT SHERBOURNE ST,Toronto Centre,Commercial Residential
4372,ISLINGTON AVE AT FORDWICH CRES,Etobicoke North,Residential Detached
4373,THORNCLIFFE PARK DR EAST AT OVERLEA BLVD SOUTH SIDE,Don Valley West,Commercial Residential
4374,FINCH AVE EAST AT MIDLAND AVE,Scarborough North,Residential Semi-Detached
4375,YORK MILLS RD AT DON MILLS RD,Don Valley East,not_defined
4376,KINGSTON RD AT CHOICELAND BLVD,Scarborough-Rouge Park,Residential Detached
4377,22 LE PAGE CRT,York Centre,Employment Industrial
4378,DUFFERIN ST AT SUPERTEST RD,York Centre,not_defined
4379,MIDDLEFIELD RD AT OPPOSITE WALKWAY TO BUCKHURST CRES,Scarborough North,Employment Industrial
4380,WARDEN AVE AT ALDEN RD SOUTH SIDE,outside_wards,not_defined
4381,THE QUEENSWAY AT KIPLING AVE,Etobicoke-Lakeshore,not_defined
4382,STEELES AVE EAST AT FIREBRACE RD WEST SIDE,outside_wards,not_defined
4383,WESTON RD AT SENECA AVE,York South-Weston,not_defined
4384,ATTWELL DR AT DISCO RD NORTH SIDE,Etobicoke North,Employment Industrial
4385,ATKINSON AVE AT CLARK AVE WEST,outside_wards,not_defined
4386,59 LAWSON RD,Scarborough-Rouge Park,Institutional
4387,QUEENS PLATE DR AT HIGHWAY 27,Etobicoke North,not_defined
4388,FINCH AVE EAST AT BRAHMS AVE,Don Valley North,Residential Apartment Commercial
4389,MCNICOLL AVE AT SHADY HOLLOW DR WEST SIDE,Scarborough North,Residential Semi-Detached
4390,4400 DUFFERIN ST,York Centre,not_defined
4391,PASSMORE AVE AT DYNAMIC DR,Scarborough North,Employment Industrial
4392,150 NEPTUNE DR,Eglinton-Lawrence,Residential Apartment
4393,211 THE WEST MALL,Etobicoke Centre,Residential Multiple
4394,MCCOWAN RD AT WALKWAY TO ENCHANTED HILLS CRES,Scarborough North,Residential Detached
4395,LAWRENCE AVE WEST AT DUFFERIN ST,Eglinton-Lawrence,not_defined
4396,ST CLAIR AVE WEST AT TWEEDSMUIR AVE WEST SIDE,Toronto-St. Paul's,Open Space Natural
4397,ST CLAIR AVE EAST AT DANFORTH RD,Scarborough Southwest,Commercial Residential
4398,YORK MILLS RD AT VALENTINE DR,Don Valley East,Residential Detached
4399,BATHURST ST AT MASCOT PL,York Centre,Residential Apartment
4400,DON MILLS RD AT LEGATO CRT,Don Valley East,Residential Detached
4401,MCCOWAN RD AT HURLEY CRES SOUTH SIDE,Scarborough Centre,Residential Detached
4402,UPPER HIGHLAND CRES AT OWEN BLVD,Don Valley West,Residential Detached
4403,LAWSON RD AT PORT UNION RD,Scarborough-Rouge Park,Residential Detached
4404,WARDEN AVE AT EGLINTON AVE EAST,Scarborough Centre,not_defined
4405,SHEPPARD AVE EAST AT NEILSON RD,Scarborough-Rouge Park,Residential Detached
4406,MEADOWVALE RD AT ROTARY DR,Scarborough-Rouge Park,Residential Semi-Detached
4407,SANDRA RD AT O'CONNOR DR,Beaches-East York,Residential Detached
4408,ROYAL YORK RD AT NORSEMAN ST,Etobicoke-Lakeshore,Residential Detached
4409,SHEPPARD AVE EAST AT REIDMOUNT AVE - AGINCOURT GO STATION,Scarborough-Agincourt,not_defined
4410,LAWRENCE AVE EAST AT CANLISH RD WEST SIDE,Scarborough Centre,Residential Multiple
4411,WILSON AVE AT AVENUE RD,Eglinton-Lawrence,Residential Multiple
4412,BAYVIEW AVE AT SHEPPARD AVE EAST NORTH SIDE (BAYVIEW STN),Don Valley North,not_defined
4413,PARK LAWN RD AT KINSDALE BLVD NORTH SIDE,Etobicoke-Lakeshore,Residential Apartment
4414,HUMBERWOOD BLVD AT TOPBANK DR NORTH SIDE,Etobicoke North,Open Space Natural
4415,YONGE ST AT ST EDMUNDS DR,Don Valley West,Open Space Recreation
4416,MORNINGSIDE AVE AT ELLESMERE RD,Scarborough-Guildwood,Commercial Residential
4417,SCARLETT RD AT SAXONY CRES,Etobicoke Centre,Residential Detached
4418,ALBION RD AT ARMEL CRT,Etobicoke North,not_defined
4419,ST REGIS CRES (SOUTH) AT BAKERSFIELD ST WEST SIDE,York Centre,Employment Industrial
4420,DON MILLS RD AT ST DENNIS DR (OPP. ONTARIO SCIENCE CENTRE),Don Valley East,Residential Apartment Commercial
4421,PROGRESS AVE AT WILLIAM KITCHEN RD,Scarborough Centre,Employment Industrial
4422,ROGERS RD AT OAKWOOD AVE,Davenport,Commercial Residential
4423,ISLINGTON AVE AT MILLWICK DR,Humber River-Black Creek,Commercial Residential
4424,BRIMLEY RD AT ELLESMERE RD NORTH SIDE,Scarborough Centre,not_defined
4425,HUMBER COLLEGE BLVD AT LYNMONT RD,Etobicoke North,Residential Detached
4426,MCRAE DR AT LAIRD DR WEST SIDE,Don Valley West,Residential Apartment
4427,KEELE ST AT TORO RD,York Centre,not_defined
4428,WILSON AVE AT ALLARD AVE,Eglinton-Lawrence,not_defined
4429,CHRISTIE ST AT MELITA AVE,Toronto-St. Paul's,Residential
4430,LE PAGE CRT AT CERAMIC RD,York Centre,Employment Industrial
4431,BRIMLEY RD AT MCNICOLL AVE,Scarborough North,Utility and Transportation
4432,KEELE ST AT BEECHBOROUGH AVE,York South-Weston,Residential Multiple
4433,WOODBINE AVE AT MILVERTON BLVD,Beaches-East York,Commercial Residential
4434,HUMBERLINE DR AT HOLYOAKE CRES (EAST),Etobicoke North,Residential Apartment Commercial
4435,ST CLAIR AVE WEST AT SPADINA RD,Toronto-St. Paul's,Residential
4436,CHRISTIE ST AT DUPONT ST,University-Rosedale,Commercial Residential
4437,MEADOWVALE RD AT EUCLID AVE,Scarborough-Rouge Park,Residential Detached
4438,PROGRESS AVE AT KENNEDY RD EAST SIDE,Scarborough Centre,not_defined
4439,WARDEN AVE AT COMSTOCK RD,Scarborough Southwest,not_defined
4440,KINGSTON RD AT PINE RIDGE DR,Scarborough Southwest,Residential Detached
4441,MCNICOLL AVE AT WHITE HEATHER BLVD,Scarborough North,Utility and Transportation
4442,FLEMINGTON RD AT DYNASTY LANE,Eglinton-Lawrence,Residential Multiple
4443,O'CONNOR DR AT WOODVALE CRES,Beaches-East York,Residential Detached
4444,JOHN GARLAND BLVD AT MARTIN GROVE RD EAST SIDE,Etobicoke North,not_defined
4445,PRINCE EDWARD DR AT ASHTON MANOR,Etobicoke-Lakeshore,Residential Detached
4446,ROGERS RD AT BOON AVE,Davenport,Residential Multiple
4447,OPPOSITE 2002-2012 SHEPPARD AVE WEST,Humber River-Black Creek,Open Space Golf Course
4448,ST CLAIR AVE WEST AT DEER PARK CRES WEST SIDE,Toronto-St. Paul's,Residential
4449,ST CLAIR AVE WEST AT VAUGHAN RD,Toronto-St. Paul's,not_defined
4450,8800 SHEPPARD AVE EAST,Scarborough-Rouge Park,not_defined
4451,DON MILLS RD AT DUNCAN MILL RD SOUTH SIDE,Don Valley East,Open Space Natural
4452,2265 JANE ST,York Centre,Residential Multiple
4453,GULLIVER RD AT KEELE ST,York South-Weston,Residential Apartment
4454,KENNEDY RD AT ELLESMERE RD,Scarborough Centre,Commercial Residential
4455,WESTON RD AT MCCORMACK ST,York South-Weston,not_defined
4456,ALBION RD AT ARMEL CRT,Etobicoke North,Residential Apartment Commercial
4457,ISLINGTON AVE AT BYWOOD DR,Etobicoke Centre,Residential Detached
4458,LANSDOWNE AVE AT RIDEAU AVE,Parkdale-High Park,Residential
4459,WESTON RD AT CARDELL AVE,York South-Weston,Commercial Residential
4460,395 PASSMORE AVE,Scarborough North,not_defined
4461,MORNINGVIEW TRAIL AT RANGELEY DR,Scarborough-Rouge Park,Residential Detached
4462,1300 ELLESMERE RD,Scarborough Centre,Employment Industrial
4463,MARTIN GROVE RD AT EGLINTON AVE WEST,Etobicoke Centre,not_defined
4464,ST CLAIR AVE WEST AT DUNVEGAN RD WEST SIDE,Toronto-St. Paul's,Residential
4465,110 MORNINGVIEW TRAIL,Scarborough-Rouge Park,Residential Detached
4466,OSSINGTON AVE AT LEEDS ST,University-Rosedale,Residential
4467,WILSON HEIGHTS BLVD AT BRIGHTON AVE,York Centre,Residential Detached
4468,LAWRENCE AVE EAST AT MIDLAND AVE WEST SIDE,Scarborough Centre,Commercial Residential
4469,ROYAL YORK RD AT YORK VIEW DR,Etobicoke-Lakeshore,Residential Multiple
4470,ROSSDEAN DR AT STEELES AVE WEST SOUTH SIDE,Humber River-Black Creek,not_defined
4471,VICTORIA PARK AVE AT STEELES AVE EAST,Scarborough-Agincourt,not_defined
4472,SHEPPARD AVE EAST AT GRAND RIVER BLVD SOUTH SIDE,Scarborough-Rouge Park,Residential Detached
4473,LAIRD DR AT LEA AVE,Don Valley West,Commercial Residential
4474,WESTON RD AT ORMONT DR,Humber River-Black Creek,Employment Heavy Industrial
4475,MCNICOLL AVE AT HAROLD EVANS CRES,Don Valley North,not_defined
4476,WELLESLEY ST WEST AT QUEEN'S PARK CRES EAST,University-Rosedale,not_defined
4477,MIDLAND AVE AT FINCH AVE EAST,Scarborough-Agincourt,not_defined
4478,FINCH AVE WEST AT WESTMORE DR,Etobicoke North,Employment Industrial
4479,THE EAST MALL AT BURNHAMTHORPE RD SOUTH SIDE,Etobicoke Centre,Commercial Residential
4480,ANGLESEY BLVD AT THE KINGSWAY,Etobicoke Centre,Residential Multiple
4481,DAVENPORT RD AT CALEDONIA PARK RD,Davenport,Open Space Natural
4482,VICTORIA PARK AVE AT STAMFORD SQ,Scarborough Southwest,Commercial Residential
4483,GUILDWOOD PKWY AT SCARCLIFF GARDENS,Scarborough-Guildwood,Residential Detached
4484,HUNTINGWOOD RD AT RIDGECREST DR,Scarborough-Agincourt,Residential Detached
4485,LAWRENCE AVE AT YONGE ST (LAWRENCE STATION),Don Valley West,Open Space
4486,KEELE ST AT HUMBERSIDE AVE,Parkdale-High Park,Residential
4487,MCCOWAN RD AT CASTLEMORE AVE,outside_wards,not_defined
4488,BIRCHMOUNT RD AT FLORA DR,Scarborough Centre,Employment Industrial
4489,BURNHAMTHORPE RD AT DUNDAS ST WEST NORTH SIDE,Etobicoke-Lakeshore,not_defined
4490,FINCHDENE SQ (EAST) AT FINCHDENE SQ (SOUTH),Scarborough North,Employment Industrial
4491,SUTHERLAND DR AT BAYVIEW AVE EAST SIDE,Don Valley West,Residential Multiple
4492,CORDOVA AVE AT MABELLE AVE,Etobicoke-Lakeshore,not_defined
4493,WESTON RD AT DENNIS AVE,York South-Weston,Residential Multiple
4494,SHEPPARD AVE EAST AT PARKWAY FOREST DR WEST SIDE,Don Valley North,not_defined
4495,AMEER AVE AT RANEE AVE,Eglinton-Lawrence,Residential Detached
4496,KINGSTON RD AT PINE RIDGE DR,Scarborough Southwest,not_defined
4497,THE WESTWAY AT FULFORD PL,Etobicoke Centre,Residential Detached
4498,BAYVIEW AVE AT GARNIER CRT,Don Valley North,not_defined
4499,EGLINTON AVE EAST AT CREDIT UNION DR,Don Valley East,not_defined
4500,ST CLAIR AVE EAST AT VICTORIA PARK AVE EAST SIDE,Scarborough Southwest,Commercial Residential
4501,MEADOWVALE RD AT SHEPPARD AVE EAST,Scarborough-Rouge Park,Residential Semi-Detached
4502,CALEDONIA RD AT KITCHENER AVE,Davenport,Residential Multiple
4503,ALBION RD AT ISLINGTON AVE,Etobicoke North,Commercial Residential
4504,STEELES AVE WEST AT DUFFERIN ST,York Centre,not_defined
4505,ST CLAIR AVE WEST AT OAKWOOD AVE,Davenport,not_defined
4506,ST CLAIR AVE EAST AT BRIMLEY RD,Scarborough Southwest,Open Space Cemetery
4507,WARDEN AVE AT MAJOR MACKENZIE DR EAST,outside_wards,not_defined
4508,ST CLAIR AVE EAST AT NORTH WOODROW BLVD,Scarborough Southwest,Open Space Cemetery
4509,COXWELL AVE AT DUNDAS ST EAST,Toronto-Danforth,Residential
4510,INTERNATIONAL BLVD AT CARLINGVIEW DR EAST SIDE,Etobicoke North,Employment Industrial
4511,LAWRENCE AVE EAST AT PORT UNION RD WEST SIDE,Scarborough-Rouge Park,Commercial Local
4512,CROW TRAIL AT MCGINTY PL,Scarborough North,Residential Detached
4513,AIRPORT RD AT AMERICAN DR NORTH SIDE,outside_wards,not_defined
4514,AIRPORT RD AT NORTHWEST DR,outside_wards,not_defined
4515,EVANS AVE AT NORTH CARSON ST,Etobicoke-Lakeshore,Residential Multiple
4516,LAWRENCE AVE EAST AT MARKHAM RD,Scarborough-Guildwood,Commercial Residential
4517,ST CLAIR AVE EAST AT SQUIRES AVE,Beaches-East York,Commercial Residential
4518,MARTIN GROVE RD AT REXDALE BLVD,Etobicoke North,Employment Industrial
4519,SLOANE AVE AT EGLINTON AVE EAST NORTH SIDE,Don Valley East,Residential Apartment
4520,ROYAL YORK RD AT EVANS AVE NORTH SIDE,Etobicoke-Lakeshore,Residential Townhouse
4521,PHARMACY AVE AT SURREY AVE,Scarborough Centre,Residential Detached
4522,ANNETTE ST AT DUNDAS ST WEST,Parkdale-High Park,Commercial Residential
4523,JOHN GARLAND BLVD AT COLLINGDALE RD (EAST) WEST SIDE,Etobicoke North,Residential Townhouse
4524,FINCH AVE EAST AT MIDLAND AVE,Scarborough-Agincourt,Commercial Residential
4525,MT PLEASANT RD AT SOUDAN AVE,Don Valley West,Commercial Residential
4526,KODIAK CRES AT WHITEHORSE RD,York Centre,not_defined
