,stop_name,Ward_name,zone_type
226,PARLIAMENT ST AT GERRARD ST EAST,Toronto Centre,Open Space
227,PETER KAISER GATE AT STEELES AVE WEST,Humber River-Black Creek,Residential Townhouse
228,PHARMACY AVE AT ELLESMERE RD,Scarborough Centre,Commercial Residential
229,PORT UNION RD AT ADENMORE RD NORTH SIDE,Scarborough-Rouge Park,Residential Detached
230,FINCH AVE WEST AT DUFFERIN ST,York Centre,not_defined
231,FINCH AVE WEST AT JANE ST,Humber River-Black Creek,Commercial Residential
232,FINCH AVE WEST AT MARTIN GROVE RD WEST SIDE,Etobicoke North,Residential Detached
233,FINCH AVE WEST AT RUMIKE RD EAST SIDE,Humber River-Black Creek,Residential Apartment
234,FINCH AVE WEST AT SENLAC RD,Willowdale,not_defined
235,FINCH AVE WEST AT SENTINEL RD EAST SIDE,Humber River-Black Creek,not_defined
236,FINCH AVE WEST AT WILMINGTON AVE,York Centre,Residential Apartment Commercial
237,FLEET ST AT BATHURST ST,Spadina-Fort York,not_defined
238,FRESHMEADOW DR AT DON MILLS RD,Don Valley North,Residential Apartment
239,FRESHMEADOW DR AT DON MILLS RD,Don Valley North,Residential Apartment
240,FRONT ST EAST AT BERKELEY ST,Toronto Centre,Commercial Residential
241,FRONT ST WEST AT BAY ST EAST SIDE (UNION STATION),Spadina-Fort York,Commercial Residential
242,GLEN RD AT SOUTH DR,University-Rosedale,Residential Detached
243,LAWSON RD AT KINGSTON RD (HIGHWAY 2A OVERPASS),Scarborough-Rouge Park,Commercial Residential
244,HIGHLAND CREEK OVERPASS AT KINGSTON RD,Scarborough-Rouge Park,not_defined
245,HIGHLAND CREEK OVERPASS AT KINGSTON RD,Scarborough-Rouge Park,not_defined
246,HIGHWAY 27 AT QUEENS PLATE DR (WOODBINE MALL),Etobicoke North,not_defined
247,HUMBER COLLEGE BLVD AT CARRIER DR,Etobicoke North,Employment Industrial
248,HUMBER COLLEGE BLVD AT HUMBERLINE DR SOUTH SIDE,Etobicoke North,not_defined
249,HUMBER COLLEGE BLVD AT HUMBERLINE DR,Etobicoke North,Residential Detached
250,HUMBERLINE DR AT HUMBER COLLEGE BLVD WEST SIDE,Etobicoke North,Residential Detached
251,HUMBERLINE DR AT HUMBER COLLEGE BLVD,Etobicoke North,not_defined
252,ISLINGTON AVE AT BLOOR ST WEST NORTH SIDE,Etobicoke-Lakeshore,not_defined
253,ISLINGTON AVE AT BLOOR ST WEST,Etobicoke-Lakeshore,not_defined
254,ISLINGTON AVE AT BLOOR ST WEST,Etobicoke-Lakeshore,not_defined
255,ISLINGTON AVE AT CENTRAL PARK ROADWAY SOUTH SIDE,Etobicoke-Lakeshore,not_defined
256,ISLINGTON AVE AT FINCH AVE WEST,Etobicoke North,Open Space Natural
257,JANE ST AT ANNETTE ST,Parkdale-High Park,Commercial Residential
258,JANE ST AT TRETHEWEY DR,York South-Weston,Commercial Residential
259,JANE ST AT FINCH AVE WEST SOUTH SIDE,Humber River-Black Creek,Commercial Residential
260,JANE ST AT HEATHROW DR,York Centre,Commercial Residential
261,JANE ST AT HULLMAR DR,Humber River-Black Creek,Open Space Natural
262,JANE ST AT HULLMAR DR,Humber River-Black Creek,Residential Apartment Commercial
263,JANE ST AT LAMBTON AVE,York South-Weston,Residential Multiple
264,JANE ST AT PRITCHARD AVE,York South-Weston,Residential Multiple
265,JANE ST AT WRIGHT AVE,York South-Weston,Commercial Residential
266,JANE ST AT STEELES AVE WEST,Humber River-Black Creek,Open Space Natural
267,JOHN GARLAND BLVD AT FINCH AVE WEST SOUTH SIDE,Etobicoke North,Residential Semi-Detached
268,JOHN GARLAND BLVD AT FINCH AVE WEST,Etobicoke North,not_defined
269,KEELE ST AT FINCH AVE WEST NORTH SIDE (FINCH WEST STATION),York Centre,not_defined
270,KEELE ST AT FINCH AVE WEST,Humber River-Black Creek,not_defined
271,ST CLAIR AVE WEST AT KEELE ST/ WESTON RD,York South-Weston,not_defined
272,CRESCENT RD AT SOUTH DR (WEST),University-Rosedale,Residential Detached
273,GERRARD ST EAST AT BLACKBURN ST,Toronto-Danforth,not_defined
274,LANSDOWNE AVE AT SEAFORTH AVE,Parkdale-High Park,Residential
275,SCARLETT RD AT FOXWELL ST,York South-Weston,Residential Detached
276,EGLINTON AVE WEST AT MARTIN GROVE RD,Etobicoke Centre,Open Space Recreation
277,RANEE AVE AT YORKDALE STATION,Eglinton-Lawrence,not_defined
278,DIXON RD AT 950 DIXON RD,Etobicoke North,Employment Industrial Office
279,MCCOWAN RD AT KENHATCH BLVD,Scarborough North,Residential Semi-Detached
280,BLOOR ST WEST AT MARKLAND DR (EAST) EAST SIDE,Etobicoke Centre,Residential Detached
281,ST CLAIR AVE WEST AT OLD WESTON RD,Davenport,not_defined
282,BELFIELD RD AT KIPLING AVE,Etobicoke North,Employment Industrial
283,LLOYD MANOR RD AT FIRWOOD CRES NORTH SIDE,Etobicoke Centre,Residential Detached
284,MCCOWAN RD LOOP AT STEELES AVE EAST,outside_wards,not_defined
285,MAYBROOK DR AT NEWMILL GATE,Scarborough North,Employment Heavy Industrial
286,QUEEN ST WEST AT SOHO ST,Spadina-Fort York,Commercial Residential
287,STEELES AVE EAST AT DON MILLS RD,outside_wards,not_defined
288,BATHURST ST AT ST CLAIR AVE WEST NORTH SIDE,Toronto-St. Paul's,Commercial Residential
289,THE BRIDLE PATH AT LAWRENCE AVE EAST SOUTH SIDE,Don Valley West,Residential Detached
