,stop_name,SCHOOL_TYPE_DESC,dist
119,LAWRENCE AVE WEST AT SCARLETT RD EAST SIDE,English Public,0.004516737154620843
120,LAWRENCE AVE WEST AT VARNA DR WEST SIDE,English Public,0.0019406195357934996
121,LAWRENCE AVE WEST AT WESTON RD,Private,0.0011856506271104462
122,LAWRENCE PLAZA AT CANADA TRUST,Private,0.0019524960775098989
123,LAWRENCE SQ AT NORTHWEST ENTRANCE,English Public,0.0045942244766101
124,LESLIE ST AT EASTERN AVE,English Public,0.0037630384968027238
125,LESLIE ST AT KIRKWOOD RD NORTH SIDE,Private,0.003125562986599282
126,LESLIE ST AT LAWRENCE AVE EAST,English Separate,0.0013480452956597347
127,LESLIE ST AT QUEEN ST EAST SOUTH SIDE,English Separate,0.0036585148030345584
128,LONSDALE RD AT AVENUE RD EAST SIDE,Private,0.001134642575743735
129,EXHIBITION LOOP AT MANITOBA DR,English Public,0.009841042523944571
130,EXHIBITION LOOP,English Public,0.010316435298969787
131,TORONTO ZOO,English Public,0.007986936735732525
132,TORONTO ZOO,English Public,0.008106951395887954
133,TORONTO ZOO,English Public,0.008419749653216147
134,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST,English Public,0.006228636115448651
135,HUMBER LOOP AT THE QUEENSWAY,English Public,0.011716015519392433
136,HUMBER LOOP AT THE QUEENSWAY,English Public,0.01188757333968861
137,EARLSCOURT LOOP AT ST CLAIR AVE WEST,English Separate,0.007047015892633316
138,LONG BRANCH LOOP,French Public,0.001893867781129806
139,QUEENS QUAY LOOP AT LOWER SPADINA AVE,English Separate,0.002852388402181686
140,WESTWOOD SQUARE BUS TERMINAL AT MORNING STAR DR,English Separate,0.0226884769072845
141,LUMSDEN AVE AT WESTLAKE AVE,English Public,0.003935024778711845
142,PROGRESS AVE AT MARKHAM RD EAST SIDE,Private,0.005444154950440836
143,QUEEN ELIZABETH HOSPITAL AT 130 DUNN AVE,English Public,0.0026942241607611815
144,QUEEN ST EAST AT KINGSTON RD,English Public,0.009048316233712472
145,QUEEN ST EAST AT KINGSTON RD,English Public,0.009086942302041883
146,QUEEN ST WEST AT SHAW ST,English Public,0.0020443152877539727
147,QUEEN'S PARK CRES WEST AT HOSKIN AVE,Private,0.0032296905075524423
148,QUEEN'S PARK CRES EAST AT ST JOSEPH ST NORTH SIDE,English Separate,0.0025040074573907047
149,THE QUEENSWAY AT MORGAN AVE,English Separate,0.0010730873300063848
150,THE QUEENSWAY AT STEPHEN DR,English Separate,0.007350988967218848
151,THE QUEENSWAY AT WINDERMERE AVE WEST SIDE,English Public,0.009152628912174214
152,55 RANKIN AVE,English Separate,0.005802864583901447
153,RATHBURN RD AT LLOYD MANOR RD,English Separate,0.0020827862089695354
154,RENFORTH DR AT EGLINTON AVE WEST,English Separate,0.002682183987236822
155,ROGERS RD AT KEELE ST,English Public,0.0033465536867057664
156,ROYAL YORK RD AT DIXON RD,English Public,0.0069476938265902715
157,ROYAL YORK RD AT EGLINTON AVE WEST SOUTH SIDE,English Separate,0.0035689599916818664
158,SENTINEL RD AT FINCH AVE WEST,English Separate,0.0026303936510289326
159,SENTINEL RD AT THE POND RD,University,0.0034943208683548103
160,SEWELLS RD AT BRENYON WAY EAST SIDE,English Separate,0.0018520891878814202
161,SEWELLS RD AT BRENYON WAY,English Separate,0.0020834065428531725
162,SEWELLS RD AT MCLEVIN AVE,English Separate,0.0009186416917893582
163,SHEPPARD AVE EAST AT COMMONS DR,Private,0.004604888565716369
164,SHEPPARD AVE EAST AT COMMONS DR,Private,0.004540269256251904
165,SHEPPARD AVE EAST AT MEADOWVALE RD,English Public,0.005934554395769357
166,SHEPPARD AVE EAST AT VICTORIA PARK AVE EAST SIDE,Private,0.0032142025661569813
167,SHEPPARD AVE WEST AT JANE ST EAST SIDE,English Separate,0.002839582690722283
168,SHEPPARD AVE WEST AT SENTINEL RD,English Public,0.003772656729590854
169,SHEPPARD AVE WEST AT WILLIAM R ALLEN RD WEST SIDE,English Public,0.0037948831282748952
170,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),English Separate,0.008425437407688776
171,SHERWAY GARDENS RD AT SHERWAY GATE (MALL) WEST SIDE,English Separate,0.008272153168403363
172,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),English Separate,0.008024848696484592
173,SHERWAY GARDENS RD AT SHERWAY GATE MALL),English Separate,0.007791387734394137
174,MAIN ST AT DANFORTH AVE,English Public,0.0013269927785469807
175,MAIN ST AT DANFORTH AVE,English Public,0.0012779754742284198
176,MAIN ST AT DONCASTER AVE,English Public,0.001643457558959345
177,MAIN ST AT GERRARD ST EAST,Private,0.0007168251440859883
178,MAIN ST AT GERRARD ST EAST,Private,0.0008786985135667806
179,MARKHAM RD AT PASSMORE AVE NORTH SIDE,English Public,0.016775648506778894
180,MARTIN GROVE RD AT FINCH AVE WEST NORTH SIDE,English Separate,0.0015879554684176402
181,MARTIN GROVE RD AT JOHN GARLAND BLVD,English Separate,0.0026087985590950847
182,MARTIN GROVE RD AT MERCURY RD,English Public,0.004807101882832765
183,WESTHUMBER BLVD AT MARTIN GROVE RD NORTH SIDE,English Public,0.004567400452267684
184,2061 MCCOWAN RD,Private,0.004644673486281792
185,MCCOWAN RD AT BUSHBY DR NORTH SIDE,Private,0.0022646310057730565
186,MCCOWAN RD AT ELSON ST,English Public,0.008947005568527028
187,MCCOWAN RD AT STEELES AVE EAST NORTH SIDE,English Public,0.006742809546101622
188,MCCOWAN RD AT STEELES AVE EAST SOUTH SIDE,English Public,0.005791922991806886
189,MCCOWAN RD AT TOWN CENTRE CRT,Private,0.0018336263885090076
