,stop_name,FTH_FAITH,dist
154,RENFORTH DR AT EGLINTON AVE WEST,Christian,5233000.752205972
155,ROGERS RD AT KEELE ST,Christian,5233000.767260959
156,ROYAL YORK RD AT DIXON RD,Christian,5233000.733913303
157,ROYAL YORK RD AT EGLINTON AVE WEST SOUTH SIDE,Christian,5233000.753170883
158,SENTINEL RD AT FINCH AVE WEST,Christian,5233000.683430393
159,SENTINEL RD AT THE POND RD,Christian,5233000.674470106
160,SEWELLS RD AT BRENYON WAY EAST SIDE,Christian,5233000.713610619
161,SEWELLS RD AT BRENYON WAY,Christian,5233000.713510731
162,SEWELLS RD AT MCLEVIN AVE,Christian,5233000.711669888
163,SHEPPARD AVE EAST AT COMMONS DR,Christian,5233000.716861137
164,SHEPPARD AVE EAST AT COMMONS DR,Christian,5233000.716854817
165,SHEPPARD AVE EAST AT MEADOWVALE RD,Christian,5233000.7249859525
166,SHEPPARD AVE EAST AT VICTORIA PARK AVE EAST SIDE,Christian,5233000.716820144
167,SHEPPARD AVE WEST AT JANE ST EAST SIDE,Christian,5233000.7012188425
168,SHEPPARD AVE WEST AT SENTINEL RD,Christian,5233000.702481648
169,SHEPPARD AVE WEST AT WILLIAM R ALLEN RD WEST SIDE,Christian,5233000.703571251
170,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),Christian,5233000.81415691
171,SHERWAY GARDENS RD AT SHERWAY GATE (MALL) WEST SIDE,Christian,5233000.813927807
172,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),Christian,5233000.814212706
173,SHERWAY GARDENS RD AT SHERWAY GATE MALL),Christian,5233000.814218631
174,MAIN ST AT DANFORTH AVE,Christian,5233000.806412571
175,MAIN ST AT DANFORTH AVE,Christian,5233000.806672211
176,MAIN ST AT DONCASTER AVE,Christian,5233000.802588832
177,MAIN ST AT GERRARD ST EAST,Christian,5233000.810595985
178,MAIN ST AT GERRARD ST EAST,Christian,5233000.810507784
179,MARKHAM RD AT PASSMORE AVE NORTH SIDE,Christian,5233000.681852456
180,MARTIN GROVE RD AT FINCH AVE WEST NORTH SIDE,Christian,5233000.68238377
181,MARTIN GROVE RD AT JOHN GARLAND BLVD,Christian,5233000.68818959
182,MARTIN GROVE RD AT MERCURY RD,Christian,5233000.6943836035
183,WESTHUMBER BLVD AT MARTIN GROVE RD NORTH SIDE,Christian,5233000.6942058625
184,2061 MCCOWAN RD,Christian,5233000.713524446
185,MCCOWAN RD AT BUSHBY DR NORTH SIDE,Christian,5233000.735651195
186,MCCOWAN RD AT ELSON ST,Christian,5233000.6714570625
187,MCCOWAN RD AT STEELES AVE EAST NORTH SIDE,Christian,5233000.674755195
188,MCCOWAN RD AT STEELES AVE EAST SOUTH SIDE,Christian,5233000.67618914
189,MCCOWAN RD AT TOWN CENTRE CRT,Christian,5233000.735679143
190,1020 MCNICOLL AVE,Christian,5233000.685275926
191,MCNICOLL AVE AT SILVER SPRINGS BLVD,Christian,5233000.687605359
192,MCNICOLL AVE AT SILVER SPRINGS BLVD,Christian,5233000.687415108
193,MCNICOLL AVE AT VICTORIA PARK AVE,Christian,5233000.685397847
194,MEADOWVALE RD AT SHEPPARD AVE EAST,Christian,5233000.724611144
195,MILITARY TRAIL AT MORNINGSIDE AVE,Christian,5233000.7376294555
196,MILLWOOD RD AT OVERLEA BLVD NORTH SIDE,Christian,5233000.7792085875
197,MILLWOOD RD AT OVERLEA BLVD,Christian,5233000.77966222
198,MORNINGSIDE AVE AT CASEBRIDGE CRT NORTH SIDE,Christian,5233000.715594762
199,MORNINGSIDE AVE AT JOHN STONER DR SOUTH SIDE,Christian,5233000.711084179
200,NIGHTSTAR RD AT MORNINGSIDE AVE NORTH SIDE,Christian,5233000.694632122
201,MORNINGSIDE AVE AT WALKWAY SOUTH OF OASIS,Christian,5233000.690963491
202,MORNING STAR DR AT CATALPA RD,Christian,5233000.685661071
203,MORNING STAR DR AT CATALPA RD,Christian,5233000.685323817
204,MORNING STAR DR AT AIRPORT RD EAST SIDE,Christian,5233000.693349544
205,MORNING STAR DR AT LANCASTER AVE,Christian,5233000.691295642
206,MORNING STAR DR AT MANION RD,Christian,5233000.691391542
207,MORNING STAR DR AT REINDEER DR WEST SIDE,Christian,5233000.690089248
208,MORNING STAR DR AT REINDEER DR,Christian,5233000.68971955
209,MORTIMER AVE AT COXWELL AVE WEST SIDE (MICHAEL GARRON HOSPITAL),Christian,5233000.797268868
210,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,Christian,5233000.703146911
211,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,Christian,5233000.702929273
212,OAKWOOD AVE AT EGLINTON AVE WEST SOUTH SIDE,Christian,5233000.7605963955
213,OAKWOOD AVE AT ROGERS RD,Christian,5233000.77123774
214,O'CONNOR DR AT PAPE AVE,Christian,5233000.788623575
215,OLD WESTON RD AT ST CLAIR AVE WEST NORTH SIDE,Christian,5233000.77739439
216,OLD WESTON RD AT ST CLAIR AVE WEST,Christian,5233000.778121837
217,OLD WESTON RD AT ST CLAIR AVE WEST,Christian,5233000.777683782
218,OSSINGTON AVE AT BLOOR ST WEST,Christian,5233000.799015218
219,OSSINGTON AVE AT BLOOR ST WEST,Christian,5233000.798698827
220,OVERLEA BLVD AT MILLWOOD RD EAST SIDE,Christian,5233000.779153654
221,OVERLEA BLVD AT MILLWOOD RD,Christian,5233000.779125671
222,OVERLEA BLVD AT THORNCLIFFE PARK DR (EAST),Christian,5233000.776690844
223,PAPE AVE AT LIPTON AVE NORTH SIDE,Christian,5233000.80278624
224,PAPE AVE AT O'CONNOR DR NORTH SIDE,Christian,5233000.788127164
225,PARLIAMENT ST AT CARLTON ST,Christian,5233000.812243767
226,PARLIAMENT ST AT GERRARD ST EAST,Christian,5233000.814181313
227,PETER KAISER GATE AT STEELES AVE WEST,Christian,5233000.66409875
228,PHARMACY AVE AT ELLESMERE RD,Christian,5233000.735851191
229,PORT UNION RD AT ADENMORE RD NORTH SIDE,Christian,5233000.759339307
230,FINCH AVE WEST AT DUFFERIN ST,Christian,5233000.684954962
231,FINCH AVE WEST AT JANE ST,Christian,5233000.682691638
232,FINCH AVE WEST AT MARTIN GROVE RD WEST SIDE,Christian,5233000.682706484
233,FINCH AVE WEST AT RUMIKE RD EAST SIDE,Christian,5233000.680687249
234,FINCH AVE WEST AT SENLAC RD,Christian,5233000.6872805925
235,FINCH AVE WEST AT SENTINEL RD EAST SIDE,Christian,5233000.683769497
236,FINCH AVE WEST AT WILMINGTON AVE,Christian,5233000.68528378
237,FLEET ST AT BATHURST ST,Christian,5233000.830151412
238,FRESHMEADOW DR AT DON MILLS RD,Christian,5233000.674445889
239,FRESHMEADOW DR AT DON MILLS RD,Christian,5233000.674487416
240,FRONT ST EAST AT BERKELEY ST,Christian,5233000.825361436
241,FRONT ST WEST AT BAY ST EAST SIDE (UNION STATION),Christian,5233000.82666846
242,GLEN RD AT SOUTH DR,Christian,5233000.796918283
243,LAWSON RD AT KINGSTON RD (HIGHWAY 2A OVERPASS),Christian,5233000.748918004
244,HIGHLAND CREEK OVERPASS AT KINGSTON RD,Christian,5233000.7485630885
245,HIGHLAND CREEK OVERPASS AT KINGSTON RD,Christian,5233000.748782319
246,HIGHWAY 27 AT QUEENS PLATE DR (WOODBINE MALL),Christian,5233000.695049592
247,HUMBER COLLEGE BLVD AT CARRIER DR,Christian,5233000.677573418
248,HUMBER COLLEGE BLVD AT HUMBERLINE DR SOUTH SIDE,Christian,5233000.6831023535
249,HUMBER COLLEGE BLVD AT HUMBERLINE DR,Christian,5233000.682497214
250,HUMBERLINE DR AT HUMBER COLLEGE BLVD WEST SIDE,Christian,5233000.6827366045
251,HUMBERLINE DR AT HUMBER COLLEGE BLVD,Christian,5233000.682861759
252,ISLINGTON AVE AT BLOOR ST WEST NORTH SIDE,Christian,5233000.788939438
253,ISLINGTON AVE AT BLOOR ST WEST,Christian,5233000.789925378
254,ISLINGTON AVE AT BLOOR ST WEST,Christian,5233000.789442307
255,ISLINGTON AVE AT CENTRAL PARK ROADWAY SOUTH SIDE,Christian,5233000.785991755
256,ISLINGTON AVE AT FINCH AVE WEST,Christian,5233000.680249138
257,JANE ST AT ANNETTE ST,Christian,5233000.786029664
258,JANE ST AT TRETHEWEY DR,Christian,5233000.743936395
259,JANE ST AT FINCH AVE WEST SOUTH SIDE,Christian,5233000.683477624
260,JANE ST AT HEATHROW DR,Christian,5233000.716098128
261,JANE ST AT HULLMAR DR,Christian,5233000.666712531
262,JANE ST AT HULLMAR DR,Christian,5233000.666060107
263,JANE ST AT LAMBTON AVE,Christian,5233000.761560723
264,JANE ST AT PRITCHARD AVE,Christian,5233000.7735527335
265,JANE ST AT WRIGHT AVE,Christian,5233000.740559335
266,JANE ST AT STEELES AVE WEST,Christian,5233000.664220823
267,JOHN GARLAND BLVD AT FINCH AVE WEST SOUTH SIDE,Christian,5233000.683469442
268,JOHN GARLAND BLVD AT FINCH AVE WEST,Christian,5233000.683216846
269,KEELE ST AT FINCH AVE WEST NORTH SIDE (FINCH WEST STATION),Christian,5233000.683069883
270,KEELE ST AT FINCH AVE WEST,Christian,5233000.683098714
271,ST CLAIR AVE WEST AT KEELE ST/ WESTON RD,Christian,5233000.777671079
272,CRESCENT RD AT SOUTH DR (WEST),Christian,5233000.7943699295
273,GERRARD ST EAST AT BLACKBURN ST,Christian,5233000.81476626
274,LANSDOWNE AVE AT SEAFORTH AVE,Christian,5233000.814175079
275,SCARLETT RD AT FOXWELL ST,Christian,5233000.771973401
276,EGLINTON AVE WEST AT MARTIN GROVE RD,Christian,5233000.750341436
277,RANEE AVE AT YORKDALE STATION,Christian,5233000.733865896
278,DIXON RD AT 950 DIXON RD,Christian,5233000.729189203
279,MCCOWAN RD AT KENHATCH BLVD,Christian,5233000.707190192
280,BLOOR ST WEST AT MARKLAND DR (EAST) EAST SIDE,Christian,5233000.78800186
281,ST CLAIR AVE WEST AT OLD WESTON RD,Christian,5233000.777855966
