,stop_name,closest_station,dist
8615,SUMMERHILL STATION - SOUTHBOUND PLATFORM,SUMMERHILL STATION - SOUTHBOUND PLATFORM,0.0
8616,ROSEDALE STATION - SOUTHBOUND PLATFORM,ROSEDALE STATION - SOUTHBOUND PLATFORM,0.0
8617,BLOOR STATION - SOUTHBOUND PLATFORM,BLOOR STATION - SOUTHBOUND PLATFORM,0.0
8618,WELLESLEY STATION - SOUTHBOUND PLATFORM,WELLESLEY STATION - SOUTHBOUND PLATFORM,0.0
8619,COLLEGE STATION - SOUTHBOUND PLATFORM,COLLEGE STATION - SOUTHBOUND PLATFORM,0.0
8620,DUNDAS STATION - SOUTHBOUND PLATFORM,DUNDAS STATION - SOUTHBOUND PLATFORM,0.0
8621,QUEEN STATION - SOUTHBOUND PLATFORM,QUEEN STATION - SOUTHBOUND PLATFORM,0.0
8622,KING STATION - SOUTHBOUND PLATFORM,KING STATION - SOUTHBOUND PLATFORM,0.0
8623,UNION STATION - NB PLATFORM TOWARDS VAUGHAN METROPOLITAN CENTRE,UNION STATION - NB PLATFORM TOWARDS VAUGHAN METROPOLITAN CENTRE,0.0
8624,ST ANDREW STATION - NORTHBOUND PLATFORM,ST ANDREW STATION - NORTHBOUND PLATFORM,0.0
8625,OSGOODE STATION - NORTHBOUND PLATFORM,OSGOODE STATION - NORTHBOUND PLATFORM,0.0
8626,ST PATRICK STATION - NORTHBOUND PLATFORM,ST PATRICK STATION - NORTHBOUND PLATFORM,0.0
8627,QUEEN'S PARK STATION - NORTHBOUND PLATFORM,QUEEN'S PARK STATION - NORTHBOUND PLATFORM,0.0
8628,MUSEUM STATION - NORTHBOUND PLATFORM,MUSEUM STATION - NORTHBOUND PLATFORM,0.0
8629,ST GEORGE STATION - NORTHBOUND PLATFORM,ST GEORGE STATION - WESTBOUND PLATFORM,0.0
8630,SPADINA STATION - NORTHBOUND PLATFORM,SPADINA STATION - NORTHBOUND PLATFORM,0.0
8631,DUPONT STATION - NORTHBOUND PLATFORM,DUPONT STATION - NORTHBOUND PLATFORM,0.0
8632,ST CLAIR WEST STATION - NORTHBOUND PLATFORM,ST CLAIR WEST STATION - NORTHBOUND PLATFORM,0.0
8633,EGLINTON WEST STATION - NORTHBOUND PLATFORM,EGLINTON WEST STATION - NORTHBOUND PLATFORM,0.0
8634,GLENCAIRN STATION - NORTHBOUND PLATFORM,GLENCAIRN STATION - NORTHBOUND PLATFORM,0.0
8635,LAWRENCE WEST STATION - NORTHBOUND PLATFORM,LAWRENCE WEST STATION - NORTHBOUND PLATFORM,0.0
8636,YORKDALE STATION - NORTHBOUND PLATFORM,YORKDALE STATION - NORTHBOUND PLATFORM,0.0
8637,WILSON STATION - NORTHBOUND PLATFORM,WILSON STATION - NORTHBOUND PLATFORM,0.0
8638,SHEPPARD WEST STATION - SUBWAY PLATFORM,SHEPPARD WEST STATION - SUBWAY PLATFORM,0.0
8639,SHEPPARD WEST STATION - SOUTHBOUND PLATFORM,SHEPPARD WEST STATION - SOUTHBOUND PLATFORM,0.0
8640,WILSON STATION - SOUTHBOUND PLATFORM,WILSON STATION - SOUTHBOUND PLATFORM,0.0
8641,YORKDALE STATION - SOUTHBOUND PLATFORM,YORKDALE STATION - SOUTHBOUND PLATFORM,0.0
